q1,q2,q3,q4,q5,q6
0.0013565,-0.05543,4.7433e-06,0.029467,0.84852,-0.013311
0.0014005,-0.055425,-4.5227e-05,0.029104,0.85292,-0.013224
0.0014443,-0.055421,-9.5392e-05,0.028741,0.85732,-0.013136
0.0014878,-0.055416,-0.00014575,0.02838,0.86173,-0.013047
0.0015312,-0.055411,-0.0001963,0.02802,0.86613,-0.012956
0.0015743,-0.055407,-0.00024705,0.027661,0.87053,-0.012863
0.0016172,-0.055402,-0.00029798,0.027302,0.87493,-0.01277
0.0016599,-0.055397,-0.0003491,0.026945,0.87933,-0.012675
0.0017024,-0.055393,-0.00040042,0.026589,0.88373,-0.012579
0.0017446,-0.055388,-0.00045192,0.026233,0.88813,-0.012482
0.0017866,-0.055384,-0.0005036,0.025879,0.89253,-0.012383
0.0017866,-0.055384,-0.0005036,0.025879,0.89253,-0.012383
0.001878,-0.055373,-0.00061773,0.025107,0.9022,-0.012163
0.0019683,-0.055363,-0.00073274,0.024339,0.91186,-0.011937
0.0020575,-0.055353,-0.00084863,0.023577,0.92152,-0.011704
0.0021455,-0.055343,-0.00096538,0.022819,0.93118,-0.011466
0.0022324,-0.055333,-0.001083,0.022066,0.94085,-0.011221
0.0023182,-0.055323,-0.0012014,0.021317,0.95051,-0.01097
0.0024028,-0.055313,-0.0013207,0.020573,0.96017,-0.010714
0.0024862,-0.055302,-0.0014408,0.019835,0.96983,-0.010451
0.0025685,-0.055292,-0.0015617,0.0191,0.9795,-0.010182
0.0026496,-0.055282,-0.0016834,0.018371,0.98916,-0.0099076
0.0027295,-0.055272,-0.0018058,0.017646,0.99882,-0.0096271
0.0028082,-0.055262,-0.0019291,0.016927,1.0085,-0.0093408
0.0028857,-0.055252,-0.0020531,0.016212,1.0181,-0.0090487
0.0029621,-0.055242,-0.0021778,0.015502,1.0278,-0.0087508
0.0030372,-0.055232,-0.0023033,0.014796,1.0375,-0.0084471
0.003111,-0.055222,-0.0024295,0.014096,1.0471,-0.0081378
0.0031837,-0.055211,-0.0025565,0.0134,1.0568,-0.0078228
0.0032551,-0.055201,-0.0026841,0.012709,1.0665,-0.0075021
0.0033253,-0.055191,-0.0028124,0.012024,1.0761,-0.0071758
0.0033942,-0.055181,-0.0029414,0.011343,1.0858,-0.0068439
0.0034619,-0.055171,-0.0030711,0.010667,1.0954,-0.0065065
0.0035283,-0.055161,-0.0032014,0.0099955,1.1051,-0.0061635
0.0035934,-0.055151,-0.0033323,0.0093293,1.1148,-0.0058151
0.0036573,-0.055141,-0.0034639,0.008668,1.1244,-0.0054612
0.0037199,-0.05513,-0.0035961,0.0080117,1.1341,-0.0051019
0.0037812,-0.05512,-0.0037289,0.0073603,1.1437,-0.0047372
0.0038412,-0.05511,-0.0038623,0.0067139,1.1534,-0.0043672
0.0038999,-0.0551,-0.0039962,0.0060724,1.1631,-0.0039918
0.0039573,-0.05509,-0.0041308,0.005436,1.1727,-0.0036112
0.0040134,-0.05508,-0.0042659,0.0048045,1.1824,-0.0032252
0.0040682,-0.05507,-0.0044015,0.004178,1.1921,-0.002834
0.0041217,-0.05506,-0.0045376,0.0035566,1.2017,-0.0024377
0.0041738,-0.055049,-0.0046743,0.0029401,1.2114,-0.0020361
0.0042246,-0.055039,-0.0048114,0.0023287,1.221,-0.0016294
0.0042741,-0.055029,-0.0049491,0.0017224,1.2307,-0.0012176
0.0043222,-0.055019,-0.0050872,0.0011211,1.2404,-0.00080066
0.004369,-0.055009,-0.0052258,0.00052486,1.25,-0.00037868
0.0044145,-0.054999,-0.0053648,-5.3054e-05,1.2597,3.8669e-05
0.0044586,-0.054989,-0.0055042,-0.00052334,1.2693,0.00038533
0.0045013,-0.054979,-0.0056441,-0.00099208,1.279,0.00073787
0.0045427,-0.054969,-0.0057844,-0.0014591,1.2887,0.0010962
0.0045827,-0.054958,-0.0059251,-0.0019243,1.2983,0.0014603
0.0046214,-0.054948,-0.0060662,-0.0023878,1.308,0.0018303
0.0046587,-0.054938,-0.0062076,-0.0028495,1.3176,0.0022061
0.0046946,-0.054928,-0.0063494,-0.0033099,1.3273,0.0025883
0.0047291,-0.054918,-0.0064915,-0.0037673,1.337,0.0029753
0.0047623,-0.054908,-0.006634,-0.0042233,1.3466,0.0033687
0.0047941,-0.054898,-0.0067767,-0.0046774,1.3563,0.003768
0.0048245,-0.054888,-0.0069198,-0.0051295,1.3659,0.0041732
0.0048535,-0.054878,-0.0070632,-0.0055796,1.3756,0.0045844
0.0048535,-0.054878,-0.0070632,-0.0055796,1.3756,0.0045844
0.0049031,-0.054859,-0.0073271,-0.0063849,1.3933,0.0053417
0.004948,-0.054841,-0.0075919,-0.0071831,1.4111,0.0061186
0.0049882,-0.054823,-0.0078575,-0.007974,1.4288,0.0069152
0.0050237,-0.054805,-0.0081237,-0.0087575,1.4465,0.0077319
0.0050544,-0.054787,-0.0083906,-0.0095331,1.4643,0.0085683
0.0050804,-0.054768,-0.0086579,-0.010301,1.482,0.0094248
0.0051015,-0.05475,-0.0089256,-0.01106,1.4997,0.010301
0.005118,-0.054732,-0.0091937,-0.011811,1.5175,0.011198
0.0051296,-0.054714,-0.009462,-0.012553,1.5352,0.012114
0.0051365,-0.054696,-0.0097305,-0.013286,1.553,0.013051
0.0051386,-0.054677,-0.009999,-0.01401,1.5707,0.014009
0.0051359,-0.054659,-0.010268,-0.014726,1.5884,0.014989
0.0051284,-0.054641,-0.010536,-0.015429,1.6062,0.015985
0.0051161,-0.054623,-0.010804,-0.016123,1.6239,0.017004
0.0050991,-0.054605,-0.011072,-0.016807,1.6416,0.018043
0.0050773,-0.054586,-0.01134,-0.017482,1.6594,0.019104
0.0050507,-0.054568,-0.011607,-0.018144,1.6771,0.020184
0.0050194,-0.05455,-0.011874,-0.018796,1.6948,0.021286
0.0049833,-0.054532,-0.01214,-0.019436,1.7125,0.022409
0.0049425,-0.054514,-0.012405,-0.020065,1.7303,0.023553
0.004897,-0.054495,-0.01267,-0.020682,1.748,0.024718
0.0048468,-0.054477,-0.012934,-0.021287,1.7657,0.025904
0.0047919,-0.054459,-0.013196,-0.021879,1.7835,0.027112
0.0047323,-0.054441,-0.013458,-0.022458,1.8012,0.028339
0.0046681,-0.054423,-0.013719,-0.023024,1.8189,0.02959
0.0045992,-0.054404,-0.013978,-0.023577,1.8366,0.030861
0.0045258,-0.054386,-0.014236,-0.024116,1.8544,0.032154
0.0044477,-0.054368,-0.014493,-0.024641,1.8721,0.033469
0.0043651,-0.05435,-0.014749,-0.025153,1.8898,0.034806
0.004278,-0.054332,-0.015002,-0.025649,1.9075,0.036164
0.0041863,-0.054313,-0.015255,-0.02613,1.9253,0.037544
0.0040902,-0.054295,-0.015505,-0.026596,1.943,0.038945
0.0039897,-0.054277,-0.015754,-0.027046,1.9607,0.040369
0.0038847,-0.054259,-0.016001,-0.027482,1.9784,0.041816
0.0037753,-0.054241,-0.016246,-0.027899,1.9961,0.043283
0.0036617,-0.054222,-0.016489,-0.0283,2.0138,0.044773
0.0035437,-0.054204,-0.01673,-0.028685,2.0316,0.046286
0.0034214,-0.054186,-0.016969,-0.029052,2.0493,0.04782
0.0032949,-0.054168,-0.017205,-0.029402,2.067,0.049378
0.0031642,-0.05415,-0.01744,-0.029733,2.0847,0.050957
0.0030294,-0.054131,-0.017672,-0.030047,2.1024,0.052559
0.0028905,-0.054113,-0.017901,-0.030341,2.1201,0.054184
0.0027475,-0.054095,-0.018128,-0.030616,2.1378,0.055832
0.0026005,-0.054077,-0.018352,-0.030872,2.1555,0.057502
0.0024496,-0.054059,-0.018574,-0.031108,2.1733,0.059196
0.0022947,-0.05404,-0.018793,-0.031324,2.191,0.060912
0.002136,-0.054022,-0.019009,-0.031519,2.2087,0.062651
0.0019734,-0.054004,-0.019222,-0.031693,2.2264,0.064414
0.0018071,-0.053986,-0.019432,-0.031845,2.2441,0.066199
0.0016371,-0.053968,-0.01964,-0.031975,2.2618,0.068008
0.0016371,-0.053968,-0.01964,-0.031975,2.2618,0.068008
0.0015459,-0.053958,-0.019748,-0.032032,2.2711,0.068964
0.0014537,-0.053949,-0.019855,-0.032081,2.2804,0.069926
0.0013606,-0.053939,-0.019962,-0.032125,2.2898,0.070894
0.0012664,-0.05393,-0.020067,-0.032162,2.2991,0.071869
0.0011712,-0.05392,-0.020172,-0.032193,2.3085,0.072852
0.0010751,-0.053911,-0.020275,-0.032217,2.3178,0.073839
0.00097799,-0.053901,-0.020378,-0.032237,2.3271,0.074837
0.00087993,-0.053892,-0.02048,-0.032247,2.3365,0.075834
0.00078092,-0.053882,-0.020581,-0.032252,2.3458,0.076843
0.00068097,-0.053873,-0.020681,-0.032249,2.3551,0.077856
0.00058009,-0.053863,-0.02078,-0.03224,2.3645,0.078876
0.00047828,-0.053854,-0.020878,-0.032224,2.3738,0.079903
0.00037556,-0.053844,-0.020975,-0.032202,2.3831,0.080937
0.00027194,-0.053835,-0.021071,-0.032173,2.3925,0.081979
0.00016743,-0.053825,-0.021167,-0.032135,2.4018,0.083023
6.2025e-05,-0.053816,-0.021261,-0.032091,2.4111,0.084076
-4.4253e-05,-0.053806,-0.021354,-0.03204,2.4205,0.085136
-0.0001514,-0.053797,-0.021446,-0.031981,2.4298,0.086202
-0.0002594,-0.053788,-0.021537,-0.031915,2.4391,0.087274
-0.00036825,-0.053778,-0.021627,-0.031842,2.4485,0.088355
-0.00047794,-0.053769,-0.021717,-0.031761,2.4578,0.08944
-0.00058845,-0.053759,-0.021805,-0.031672,2.4671,0.090532
-0.00069978,-0.05375,-0.021892,-0.031577,2.4764,0.091631
-0.00081192,-0.05374,-0.021978,-0.031473,2.4858,0.092737
-0.00092486,-0.053731,-0.022062,-0.031361,2.4951,0.09385
-0.0010386,-0.053721,-0.022146,-0.031242,2.5044,0.094968
-0.0011531,-0.053712,-0.022229,-0.031115,2.5138,0.096094
-0.0012684,-0.053702,-0.022311,-0.030979,2.5231,0.097226
-0.0013844,-0.053693,-0.022391,-0.030836,2.5324,0.098365
-0.0015012,-0.053683,-0.022471,-0.030684,2.5417,0.099511
-0.0016187,-0.053674,-0.022549,-0.030525,2.5511,0.10066
-0.0017369,-0.053664,-0.022626,-0.030356,2.5604,0.10182
-0.0018559,-0.053655,-0.022703,-0.03018,2.5697,0.10299
-0.0019755,-0.053645,-0.022778,-0.029995,2.579,0.10416
-0.0020959,-0.053636,-0.022852,-0.029801,2.5883,0.10534
-0.0022169,-0.053626,-0.022924,-0.029599,2.5977,0.10653
-0.0023386,-0.053617,-0.022996,-0.029388,2.607,0.10772
-0.002461,-0.053607,-0.023066,-0.029168,2.6163,0.10892
-0.002584,-0.053598,-0.023136,-0.02894,2.6256,0.11013
-0.0027077,-0.053588,-0.023204,-0.028702,2.6349,0.11134
-0.002832,-0.053579,-0.023271,-0.028455,2.6443,0.11256
-0.0029569,-0.05357,-0.023337,-0.0282,2.6536,0.11379
-0.0030824,-0.05356,-0.023401,-0.027935,2.6629,0.11502
-0.0032085,-0.053551,-0.023465,-0.02766,2.6722,0.11626
