,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.0821270113564672,-1.8084440330244294,-2.4678067143297935,-1.9104068381445585,-1.2196916298401261,3.7531358655753846,0.0
1,-1.0829680405633557,-1.807198310006634,-2.464469949503388,-1.9154068381445586,-1.2196465734175903,3.7558489282979086,1.0
2,-1.085491128184021,-1.803461140953248,-2.4544596550241726,-1.9304068381445587,-1.219511404149983,3.7639881164654816,2.0
3,-1.089696274218463,-1.797232525864271,-2.437775830892146,-1.9554068381445584,-1.2192861220373044,3.777553430078102,3.0
4,-1.0955593027371127,-1.7887246414786189,-2.4142444797986,-1.9904065392520356,-1.2189269148468822,3.796640682980904,4.0
5,-1.1029226680490267,-1.7793205977979878,-2.3827310640962702,-2.0354043448472985,-1.2181481638471512,3.821874684475251,5.0
6,-1.111628715725805,-1.770394730514279,-2.342110750578793,-2.0903975250249927,-1.2166690077446727,3.8538711103024768,6.0
7,-1.1214318542131343,-1.7633857513833833,-2.291606473365009,-2.1549639915609475,-1.2142872605832051,3.8928975679983546,7.0
8,-1.131902890083302,-1.760017355308528,-2.2311072653380286,-2.2276605675031833,-1.21083074771457,3.9386410216638774,8.0
9,-1.1420169348039209,-1.7613604397772802,-2.165175085581284,-2.302301484063415,-1.2065762391948844,3.98734562852564,9.0
10,-1.1503016721310098,-1.7663082183335042,-2.104754765672026,-2.3673325387486464,-1.2024186611460983,4.030987875727904,10.0
11,-1.1569324431468995,-1.7731061841153224,-2.05157731253158,-2.4223622493770702,-1.198662632330991,4.068638351800056,11.0
12,-1.1621000081550965,-1.780391107488843,-2.006715793747954,-2.4673895253872837,-1.195470540609599,4.099860067775899,12.0
13,-1.1659665320757366,-1.7870465157606343,-1.9710420772912391,-2.5024147247985358,-1.1929514957899132,4.124330913894726,13.0
14,-1.168646948020585,-1.7923331129132327,-1.9451285978859938,-2.5274475134862384,-1.1911377167821866,4.141909482544,14.0
15,-1.1702992678725217,-1.7958832200016974,-1.9286423326243585,-2.5432042771097576,-1.189990419822136,4.1524826211773735,15.0
16,-1.1717910181628732,-1.7991387899463598,-1.9136694946099988,-2.5574861555370774,-1.1889495910838825,4.15383855027729,16.0
17,-1.173188442541433,-1.802188427050606,-1.8996436077914627,-2.570864799315825,-1.187974627669709,4.145195881971663,17.0
18,-1.1741980070947786,-1.8043915301249513,-1.8895108943762693,-2.580529946666387,-1.1872703335664558,4.126559740388789,18.0
19,-1.1744356729273715,-1.8049100082976666,-1.887125916844571,-2.5828049072988373,-1.1871046422305986,4.101278725026112,19.0
20,-1.1744357737259803,-1.8049099681716199,-1.8871255524573742,-2.5828053121236447,-1.1871047460155266,4.068055157994646,20.0
21,-1.1744359048645348,-1.8049099160183693,-1.8871250782295688,-2.58280583946179,-1.1871048810343319,4.024831598855719,21.0
22,-1.1744360663439584,-1.804909851938771,-1.8871244938342242,-2.5828064906439177,-1.1871050472780809,3.9716080593484024,22.0
23,-1.174436258163233,-1.8049097758194628,-1.8871237996387145,-2.5828072641745656,-1.1871052447568344,3.9083845198410856,23.0
24,-1.1744362983806151,-1.8049097783678318,-1.8871236739645507,-2.582807388448122,-1.1871052863985418,3.835160992214285,24.0
25,-1.1744362992288169,-1.8049098036300055,-1.887123698381444,-2.5828073394381104,-1.18710528759978,3.751937467451849,25.0
26,-1.1744363001614895,-1.8049098319283248,-1.8871237257341569,-2.582807284518669,-1.187105288799546,3.6587139566279934,26.0
27,-1.1744363086917016,-1.8049098614372605,-1.887123756727898,-2.582807224559643,-1.1871052977067071,3.555490451380834,27.0
28,-1.174436325475005,-1.8049098919971363,-1.8871237914248682,-2.582807159633908,-1.1871053149842177,3.442266953251757,28.0
29,-1.1744363443819419,-1.8049099249765586,-1.8871238291171504,-2.582807089326694,-1.1871053344282843,3.3190434621759337,29.0
30,-1.1744363809196956,-1.8049099536268673,-1.8871238680936935,-2.5828070223261608,-1.187105371498867,3.185819973727979,30.0
31,-1.1744364202000723,-1.804909984427734,-1.8871239099958521,-2.582806950296564,-1.1871054113523083,3.0425964912324432,31.0
32,-1.1744364777021197,-1.8049100065986448,-1.8871239492189436,-2.582806889824154,-1.187105469329357,2.889373017375108,32.0
33,-1.174436541355694,-1.8049100276567818,-1.8871239892753617,-2.5828068297197992,-1.1871055334535159,2.7261712867111854,33.0
34,-1.174436614579165,-1.8049100372214513,-1.8871240212074425,-2.5828067893429245,-1.1871056069860597,2.5638802858701233,34.0
35,-1.1744366853308117,-1.8049100412570347,-1.8871240470375015,-2.5828067605443765,-1.1871056779538751,2.4115892850290654,35.0
36,-1.1744367547381243,-1.8049100370334221,-1.8871240644805174,-2.582806748348254,-1.1871057474436317,2.269298284188009,36.0
37,-1.1744368191370218,-1.804910029250848,-1.887124076936277,-2.582806744613394,-1.1871058118578186,2.1370072833469567,37.0
38,-1.1744368784316133,-1.8049100150777586,-1.8871240816425674,-2.582806754923991,-1.1871058710554852,2.0147162825059066,38.0
39,-1.1744369328775606,-1.8049100020636386,-1.8871240859640062,-2.58280676439147,-1.1871059254124332,1.9024252816648592,39.0
40,-1.174436978423737,-1.804909982833601,-1.8871240815277361,-2.5828067886819253,-1.1871059707519935,1.800134280823815,40.0
41,-1.1744370192776528,-1.8049099650472236,-1.8871240770298385,-2.5828068115245024,-1.1871060114120653,1.707843279982779,41.0
42,-1.1744370557049282,-1.8049099491880543,-1.8871240730192975,-2.58280683189202,-1.1871060476665,1.6255522791417374,42.0
43,-1.1744370832349222,-1.8049099317505437,-1.8871240647271514,-2.582806857982213,-1.1871060749795075,1.553261278300694,43.0
44,-1.1744371059463041,-1.804909915932884,-1.8871240565042386,-2.5828068823160972,-1.1871060974891938,1.4909702774596485,44.0
45,-1.1744371250116732,-1.8049099026545434,-1.887124049601404,-2.582806902743498,-1.187106116385247,1.4386792766186007,45.0
46,-1.1744371404310292,-1.8049098919155202,-1.8871240440186485,-2.5828069192644136,-1.1871061316676668,1.3963882757775519,46.0
47,-1.1744371522043715,-1.8049098837158137,-1.8871240397559743,-2.5828069318788445,-1.1871061433364525,1.3640972749365021,47.0
48,-1.1744371603317005,-1.8049098780554234,-1.8871240368133813,-2.5828069405867904,-1.1871061513916044,1.3418062740954542,48.0
49,-1.1744819370261945,-1.8050219230220124,-1.8869777563048034,-2.5828415033690435,-1.1871508658107035,1.329382742494122,49.0
50,-1.175881526503684,-1.8085245711421487,-1.882405045675742,-2.583921793679817,-1.1885485097925839,1.3249315830279922,50.0
51,-1.1771359390928573,-1.811663906396956,-1.8783066442646796,-2.584890029034434,-1.1898011802867958,1.3302825642494218,51.0
52,-1.1771428347959887,-1.811681178345737,-1.8782841008595523,-2.5848953566547777,-1.1898080703598126,1.3436163435646846,52.0
53,-1.1771428273074722,-1.8116811850635517,-1.8782841010604214,-2.5848953597731685,-1.1898080697967186,1.3669283659713158,53.0
54,-1.1771428166066578,-1.8116811946630618,-1.878284101347456,-2.5848953642292343,-1.189808068992078,1.4002403883779486,54.0
55,-1.177142802693545,-1.8116812071442672,-1.8782841017206562,-2.5848953700229753,-1.1898080679458907,1.4435524107845805,55.0
56,-1.1771427858929349,-1.8116812222761223,-1.8782841028576964,-2.584895374633583,-1.1898080694267201,1.4968644300057752,56.0
57,-1.1771427662604772,-1.8116812400190407,-1.8782841048746888,-2.5848953776291497,-1.1898080739089258,1.5601764463816041,57.0
58,-1.177142740584322,-1.8116812584888131,-1.878284107692942,-2.584895373988293,-1.189808067756973,1.6334884578385056,58.0
59,-1.1771427040821782,-1.811681274312407,-1.8782841120968548,-2.584895352157361,-1.1898080325389557,1.7168004578919178,59.0
60,-1.1771426631772857,-1.8116812920228835,-1.878284117075069,-2.5848953275048494,-1.1898079929164602,1.810112450780859,60.0
61,-1.1771426171219561,-1.8116813103280018,-1.8782841210275327,-2.5848953032111637,-1.1898079479556607,1.9134244369321032,61.0
62,-1.177142562515579,-1.8116813233548719,-1.8782841166934938,-2.58489529368844,-1.1898078933820952,2.0267364132998593,62.0
63,-1.1771425030888127,-1.81168133753276,-1.8782841119727953,-2.5848952833413317,-1.1898078339813416,2.150048381085541,63.0
64,-1.1771424385554767,-1.8116813441527655,-1.8782840983345062,-2.5848952894068304,-1.1898077693940519,2.283360343318569,64.0
65,-1.1771423690852771,-1.8116813483540906,-1.8782840808159103,-2.584895301702731,-1.189807699839203,2.4266723039633527,65.0
66,-1.1771422988656375,-1.811681342926042,-1.8782840537422087,-2.584895333142101,-1.1898076293811708,2.579984259608986,66.0
67,-1.177142225640049,-1.811681333332264,-1.8782840217016463,-2.5848953736563156,-1.1898075558447863,2.7432962088668105,67.0
68,-1.1771421631717138,-1.8116813107779772,-1.8782839804551408,-2.5848954364604504,-1.1898074928824147,2.9077149232800363,68.0
69,-1.1771421075866444,-1.811681287140439,-1.8782839402985096,-2.584895499357589,-1.1898074368009228,3.062166082772006,69.0
70,-1.1771420682155427,-1.8116812562514975,-1.878283898158915,-2.584895571710356,-1.1898073968529757,3.206617242263975,70.0
71,-1.1771420336938245,-1.81168122657704,-1.8782838587019166,-2.5848956402418786,-1.1898073617842235,3.3410684017559498,71.0
72,-1.1771420153563934,-1.8116811931862193,-1.8782838206753594,-2.5848957112902333,-1.1898073428755476,3.465519561247923,72.0
73,-1.177141998492427,-1.8116811624784528,-1.878283785704335,-2.5848957766296516,-1.1898073254862374,3.579970720739897,73.0
74,-1.1771419933489524,-1.8116811320081776,-1.8782837546049234,-2.584895838035555,-1.18980731984652,3.6844218802318727,74.0
75,-1.1771419923856323,-1.8116811035749714,-1.8782837267766113,-2.5848958942014897,-1.1898073184284201,3.7788730397238495,75.0
76,-1.1771419915243038,-1.81168107815213,-1.8782837018946124,-2.5848959444208663,-1.189807317160462,3.8633241992158283,76.0
77,-1.1771419966245633,-1.8116810553853182,-1.8782836814365047,-2.5848959876568744,-1.1898073219092582,3.9377753587078073,77.0
78,-1.177142004859772,-1.811681035445463,-1.8782836646895151,-2.584896024409666,-1.1898073298447853,4.002226518199787,78.0
79,-1.1771420118172367,-1.8116810185994023,-1.8782836505409242,-2.584896055460032,-1.1898073365490656,4.056677677691765,79.0
80,-1.1771420174969571,-1.8116810048471361,-1.878283638990732,-2.5848960808079733,-1.1898073420220996,4.10112883718374,80.0
81,-1.1771420218989337,-1.8116809941886627,-1.8782836300389403,-2.584896100453489,-1.189807346263887,4.135579996675715,81.0
82,-1.177142025023166,-1.8116809866239814,-1.8782836236855491,-2.58489611439658,-1.1898073492744277,4.160031156167694,82.0
83,-1.1771420268696542,-1.8116809821530926,-1.8782836199305586,-2.5848961226372458,-1.1898073510537217,4.174482315659672,83.0
84,-1.1781876207351485,-1.8143298659499978,-1.8748046179535927,-2.5857338285707585,-1.1908514011876539,4.180754785770894,84.0
85,-1.1796851329014078,-1.8181236367223947,-1.869821947569994,-2.586933596594255,-1.1923467038111981,4.177425962269811,85.0
86,-1.1798098313462817,-1.818439551347216,-1.8694070377535934,-2.587033500492132,-1.1924712226923393,4.165961299092516,86.0
87,-1.1798098297990962,-1.818439558361134,-1.8694070413286643,-2.5870334968609336,-1.1924712295077822,4.1448501100225155,87.0
88,-1.1798098275190358,-1.818439568697422,-1.8694070465971833,-2.587033491509701,-1.1924712395515806,4.113738920952518,88.0
89,-1.179809824506101,-1.8184395823560802,-1.8694070535591512,-2.5870334844384333,-1.1924712528237351,4.072627731882522,89.0
90,-1.1798098206106031,-1.8184395994878757,-1.8694070617567589,-2.5870334773960812,-1.1924712680335376,4.021516546574,90.0
91,-1.1798098155796797,-1.8184396203474948,-1.8694070704166503,-2.587033473337077,-1.1924712830006485,3.9604053697305206,91.0
92,-1.1798098102690928,-1.818439644376908,-1.8694070813778025,-2.5870334655673055,-1.1924712989539268,3.889294194212249,92.0
93,-1.1798098109560176,-1.8184396687631117,-1.8694071048507332,-2.5870334189053477,-1.1924712989988806,3.808183033680484,93.0
94,-1.1798098117149176,-1.8184396961476912,-1.8694071312472103,-2.58703336636121,-1.1924712989434911,3.717071877670545,94.0
95,-1.1798098125349166,-1.818439726523683,-1.8694071605925786,-2.5870333078242433,-1.192471298697174,3.615960729119705,95.0
96,-1.1798098279315616,-1.8184397563643169,-1.8694071943733408,-2.5870332445269457,-1.192471314465525,3.5048495916014653,96.0
97,-1.1798098456615955,-1.8184397886586696,-1.8694072312969028,-2.5870331755910856,-1.1924713327109036,3.3837384612253834,97.0
98,-1.1798098737505442,-1.818439819758069,-1.8694072702720423,-2.5870331059849,-1.1924713613423683,3.252627337163748,98.0
99,-1.1798099119742314,-1.8184398497600065,-1.8694073113226521,-2.5870330355865248,-1.192471400132124,3.1115162159922622,99.0
100,-1.179809960908389,-1.8184398763204594,-1.8694073523649666,-2.587032968789071,-1.192471449599167,2.96040509836761,100.0
101,-1.1798100210612088,-1.8184398990857784,-1.8694073932137887,-2.587032906137685,-1.192471510246826,2.7992939873856617,101.0
102,-1.1798100916270415,-1.8184399126382083,-1.8694074283552848,-2.587032858535749,-1.1924715811826103,2.633409328443096,102.0
103,-1.1798101614317962,-1.818439921809067,-1.869407459003142,-2.5870328197851893,-1.1924716512855353,2.4767570575044977,103.0
104,-1.1798102317381591,-1.8184399183912878,-1.8694074775775558,-2.5870328056684997,-1.1924717216897027,2.330104786565907,104.0
105,-1.1798102975695515,-1.8184399144339511,-1.8694074942341907,-2.587032793940807,-1.1924717876005582,2.1934525156273246,105.0
106,-1.1798103582517763,-1.8184399009834147,-1.869407500064796,-2.587032802428548,-1.192471848199156,2.066800244688745,106.0
107,-1.1798104141114498,-1.8184398876716368,-1.8694075045283585,-2.5870328120729678,-1.1924719039669631,1.950147973750175,107.0
108,-1.1798104629907002,-1.8184398715091965,-1.8694075040487141,-2.587032829398958,-1.1924719526935852,1.843495702811611,108.0
109,-1.1798105052446028,-1.8184398531427572,-1.869407499364666,-2.5870328530281888,-1.1924719947452171,1.7468434318730524,109.0
110,-1.179810543126763,-1.8184398366765815,-1.869407495165241,-2.587032874212653,-1.1924720324460347,1.660191160934494,110.0
111,-1.1798105745599452,-1.8184398204802212,-1.8694074892196086,-2.5870328967779948,-1.192472063688204,1.5835388899959373,111.0
112,-1.1798105985597722,-1.8184398037810279,-1.8694074804706013,-2.5870329225371433,-1.1924720874728483,1.5168866190573809,112.0
113,-1.1798106189588478,-1.818439789587255,-1.8694074730342283,-2.5870329444315856,-1.1924721076890257,1.4602343481188214,113.0
114,-1.1798106357571723,-1.8184397778989043,-1.8694074669104865,-2.587032962461321,-1.1924721243367364,1.4135820771802543,114.0
115,-1.179810648954745,-1.8184397687159732,-1.86940746209938,-2.5870329766263502,-1.19247213741598,1.3769298062416866,115.0
116,-1.1798106585515662,-1.8184397620384614,-1.869407458600909,-2.5870329869266717,-1.192472146926756,1.3502775353031218,116.0
117,-1.1798106645476354,-1.8184397578663691,-1.8694074564150729,-2.587032993362287,-1.1924721528690647,1.3336252643645559,117.0
118,-1.1804879934895778,-1.8201767935428317,-1.8671124683784046,-2.587595827141762,-1.1931484219829758,1.3256257256139852,118.0
119,-1.1820812040248734,-1.8242626654425944,-1.8617141846733771,-2.5889197217776854,-1.1947391401812981,1.326732384756166,119.0
120,-1.182441482404623,-1.8251866286713936,-1.860493441372159,-2.589219102535283,-1.1950988576324606,1.336450717276742,120.0
121,-1.182441476393976,-1.825186634053747,-1.8604934414986611,-2.5892191051669444,-1.1950988570545327,1.3553231065372537,121.0
122,-1.1824414671984396,-1.8251866422880725,-1.860493441692193,-2.589219109193055,-1.1950988561703748,1.3841954957977642,122.0
123,-1.182441454818014,-1.8251866533743706,-1.8604934419527548,-2.5892191146136163,-1.195098854979988,1.423067885058277,123.0
124,-1.1824414393001001,-1.8251866672795467,-1.8604934423775887,-2.5892191210693043,-1.1950988538916496,1.471940273858313,124.0
125,-1.1824414212011822,-1.825186683615078,-1.860493444108306,-2.58921912434168,-1.1950988576985195,1.5308126573955194,125.0
126,-1.1824414000280017,-1.8251867027253454,-1.8604934461330012,-2.5892191281698973,-1.1950988621520207,1.5996850409327263,126.0
127,-1.1824413672479281,-1.8251867184694919,-1.8604934500254422,-2.589219111156204,-1.1950988344352151,1.678557410360564,127.0
128,-1.1824413287860749,-1.8251867351122966,-1.86049345470343,-2.5892190881216415,-1.195098797313101,1.7674297755852562,128.0
129,-1.1824412859663398,-1.8251867536091837,-1.8604934599757028,-2.5892190621986586,-1.195098755761544,1.8663021305551744,129.0
130,-1.1824412354225329,-1.8251867681328218,-1.8604934585532202,-2.589219047875326,-1.1950987056227818,1.9751744771005915,130.0
131,-1.1824411788423357,-1.825186781591573,-1.8604934540302258,-2.5892190380835203,-1.1950986490728879,2.0940468160022023,131.0
132,-1.182441117386231,-1.825186792692239,-1.8604934456788769,-2.589219034417846,-1.1950985876103732,2.2229191477746837,132.0
133,-1.182441050897429,-1.8251867966669588,-1.8604934287969492,-2.589219046346147,-1.195098521038954,2.361791475316507,133.0
