,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.5173420690634076,-2.0283353975661957,-1.671312671938956,-2.6387043340128473,-1.9069914914971542,-0.05477710696412651,0.0
1,-1.5166518089469214,-2.0278007005936667,-1.6717360826166376,-2.639589926927613,-1.9055336049758442,-0.05977710696412651,1.0
2,-1.5145810285974621,-2.0261966096760786,-1.6730063146496823,-2.6422467056719094,-1.901159945411914,-0.07477710696412648,2.0
3,-1.5111297280150306,-2.0235231248134324,-1.6751233680380908,-2.6466746702457375,-1.8938705128053632,-0.0997771069641264,3.0
4,-1.5062979071996263,-2.019780246005727,-1.678087242781862,-2.6528738206490963,-1.8836653071561926,-0.13477710696412643,4.0
5,-1.5000478858724495,-2.0149548212361266,-1.6819241247803909,-2.660718127693076,-1.870404468700041,-0.17977700650513456,5.0
6,-1.4922516547221876,-2.0090021641137943,-1.686722972975898,-2.6697795008261265,-1.8536128803628527,-0.23477656147634957,6.0
7,-1.4828092031339055,-2.0018873592413726,-1.6925532882908512,-2.679723515628274,-1.8329193557646317,-0.2997756320420069,7.0
8,-1.471612788955099,-1.99357698372317,-1.6994882806413967,-2.6901413601033277,-1.8079605284232652,-0.37477407465329976,8.0
9,-1.4585436164475616,-1.9840428441006999,-1.7076052314235617,-2.700482026153144,-1.7784112284472888,-0.4597718134029542,9.0
10,-1.4434715963022016,-1.9732546099309853,-1.7169887307797662,-2.71015339978243,-1.7438939448387052,-0.5547686843196737,10.0
11,-1.4262849247011748,-1.9612098520875856,-1.7277025785382476,-2.7184208457971217,-1.7042188408602117,-0.6597646331585915,11.0
12,-1.4068925367720468,-1.9479249226245774,-1.739796665999686,-2.7244913658174634,-1.6593082948301656,-0.7747596023615357,12.0
13,-1.3852335891115517,-1.933443016095898,-1.7532999097055144,-2.7274820171574117,-1.609267799110671,-0.8997535934630468,13.0
14,-1.3613291052275702,-1.9178557455163991,-1.7681941981944393,-2.7264745752382566,-1.5545840169426874,-1.0347467110331035,14.0
15,-1.3352855161611046,-1.9012921966085372,-1.7844247199080225,-2.720547326584936,-1.496096646884949,-1.1797093008139048,15.0
16,-1.3092911606901252,-1.8851324280726507,-1.8006593362044803,-2.709848723625164,-1.4392982186778647,-1.3236102775214933,16.0
17,-1.2851828041051339,-1.870420046627171,-1.8157852459111883,-2.6957968640581593,-1.3884177223769743,-1.4575091979226829,17.0
18,-1.2630861638784188,-1.8571250555624945,-1.8297405130372446,-2.6794885090838614,-1.3436074808973055,-1.581409238179459,18.0
19,-1.2430555019611131,-1.845196741798158,-1.8424947338576085,-2.6618997261262387,-1.3047589674277518,-1.695309801099002,19.0
