,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.3915922885557466,-2.044431120891159,-1.8686842408665896,-2.284958518210174,-1.7351620627182371,-7.328639035113156e-05,0.0
1,-1.3911828061640885,-2.043831691798413,-1.8686645455621982,-2.286476690715985,-1.7344111406765783,-0.00507328639035112,1.25
2,-1.3899543589891137,-2.0420334045201747,-1.8686054596490238,-2.2910312082334165,-1.732158374551601,-0.020073286390351122,2.5
3,-1.3879069470308223,-2.0390362590564437,-1.8685069831270664,-2.2986220707624696,-1.7284037643433057,-0.045073286390351186,3.75
4,-1.3850405702892146,-2.0348402554072207,-1.8683691159963263,-2.309249278303144,-1.723147310051692,-0.08007328639035106,5.0
5,-1.3813245422788043,-2.029451085422239,-1.8681924672601151,-2.3228358976048646,-1.7162033228862397,-0.12507325134304356,6.25
6,-1.37668601718262,-2.0228822577059424,-1.8679784824862344,-2.3391993106763938,-1.707131009241876,-0.180073121176824,7.5
7,-1.371066417302255,-2.0151446363426744,-1.8677283241595533,-2.3581926632522876,-1.6955759090824447,-0.24507283740785,8.75
8,-1.3643995758855834,-2.0062470041947895,-1.8674579611632605,-2.379566486710041,-1.6811658205639857,-0.3200723609285637,10.0
9,-1.356606461478782,-1.9961979110143744,-1.8671946188148447,-2.402976317262075,-1.663471850068973,-0.4050716622437496,11.25
10,-1.3476066619505205,-1.9850070790742316,-1.866972213378274,-2.4280110399262376,-1.6420710531887521,-0.5000706671765243,12.5
11,-1.3373132480771335,-1.972683836870808,-1.8668424315938743,-2.4541173147965223,-1.6165360143956982,-0.6050693355875786,13.75
12,-1.3256523518160392,-1.959241138399907,-1.8668724476709164,-2.480601231561667,-1.5865457387760096,-0.7200676282100431,15.0
13,-1.3125590493739787,-1.9446972687290616,-1.8671380658108019,-2.5066710954986857,-1.551841833529155,-0.8450654941217662,16.25
14,-1.2979996421059856,-1.9290792863690125,-1.8677321933180018,-2.531368741579566,-1.5123697262493592,-0.9800629106690143,17.5
15,-1.2819875046571598,-1.9124268199365373,-1.868758189617515,-2.553618752934972,-1.4683437147305984,-1.1250598740954167,18.75
16,-1.2653029748476254,-1.8955028842416213,-1.870254407770111,-2.5716137489634763,-1.4222549890291845,-1.2737788360258742,20.0
17,-1.2495921590034047,-1.87983240442882,-1.8720782922203694,-2.5839047914788194,-1.379064376905963,-1.4129289196212738,21.25
18,-1.2350432216962186,-1.865445251432997,-1.8741460776210284,-2.591355791109029,-1.3395819212120574,-1.5420793589452513,22.5
19,-1.2217385215926502,-1.8523139866494978,-1.8763749400461476,-2.59490075896339,-1.3041744266096547,-1.661232788146862,23.75
20,-1.2097065495095167,-1.8404077285999056,-1.8786842085998687,-2.5954173365728925,-1.2729190034704296,-1.770387961716721,25.0
21,-1.1989516517450445,-1.8296959988873647,-1.8809988634222898,-2.593706664754094,-1.2457705316460639,-1.8695442673913643,26.25
22,-1.1894497189672777,-1.8201487329882189,-1.8832477399527994,-2.5905002442566927,-1.2225353222466668,-1.958701633308002,27.5
23,-1.1811587048553607,-1.8117418669308913,-1.8853692162484523,-2.586408792444137,-1.2028917906542034,-2.037883072598535,28.75
