,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.3916343858169218,-2.0443998172452558,-1.8687442205081668,-2.284930281946602,-1.735206532335032,-2.3874903703513794e-05,0.0
1,-1.3912248113934795,-2.0438004449774367,-1.8687243996200906,-2.286448523774585,-1.7344555420916414,-0.0050238749037035116,1.25
2,-1.3899960881231535,-2.042002328173979,-1.868664936955862,-2.2910032492585337,-1.7322025713614697,-0.02002387490370346,2.5
3,-1.3879482160059429,-2.0390054668348836,-1.8685658325154808,-2.2985944583984486,-1.7284476201445167,-0.04502387490370336,3.75
4,-1.3850811950418482,-2.0348098609601495,-1.8684270862989476,-2.309222151194329,-1.7231906884407824,-0.08002387490370334,5.0
5,-1.3813643418524122,-2.029421206216824,-1.8682493039905301,-2.3228094050762413,-1.7162461106841724,-0.1250238392194228,6.25
6,-1.3767248058233066,-2.022853022247879,-1.868033923507261,-2.3391735979569015,-1.70717307546755,-0.18002370834717557,7.5
7,-1.3711040072382623,-2.0151161817274326,-1.8677821011478937,-2.3581678766824457,-1.6956171194313963,-0.2450234238560353,8.75
8,-1.364435777590134,-2.0062194792229406,-1.867509794211526,-2.3795427910921334,-1.6812060311470653,-0.3200229464356842,10.0
9,-1.356641083829937,-1.996171477575235,-1.8672442195565835,-2.4029538645378072,-1.6635109190405353,-0.4050222467891807,11.25
10,-1.347639510986079,-1.9849819157740076,-1.867019276236537,-2.427990011891609,-1.6421088130142851,-0.5000212507987354,12.5
11,-1.3373441299994606,-1.9726601413538267,-1.866886637712822,-2.4540978806419633,-1.616572297290089,-0.6050199182948989,13.75
12,-1.325681075264764,-1.9592191318248444,-1.8669134582365654,-2.480583578296427,-1.586580360001546,-0.7200182100285901,15.0
13,-1.3125854235864247,-1.944677197519657,-1.8671755222820035,-2.5066554220378534,-1.5518745682712622,-0.8450160750008299,16.25
14,-1.2980234882673292,-1.929061426600974,-1.867765719609438,-2.5313552379738007,-1.5124003473091996,-0.980013490627559,17.5
15,-1.2820086610543298,-1.9124114791610196,-1.868787393855809,-2.5536076049039456,-1.4683719794203012,-1.1250104531760925,18.75
16,-1.2653209943521242,-1.8954898561829046,-1.8702791258898848,-2.5716054144155205,-1.4222795838220692,-1.2737331802910519,20.0
17,-1.2496071623350289,-1.8798215488152379,-1.8720987790549628,-2.583898929641466,-1.3790851131384358,-1.412888037895089,21.25
18,-1.235055463699065,-1.8654364997415347,-1.8741626212591107,-2.5913519306058723,-1.3395990226218777,-1.5420432684852527,22.5
19,-1.2217482568382194,-1.8523072372345968,-1.8763878495695911,-2.594898459843274,-1.3041881604147005,-1.6612015069046562,23.75
20,-1.2097140296192648,-1.840402852408127,-1.8786938066332293,-2.595416194248791,-1.2729296867313784,-1.770361500030296,25.0
21,-1.1989571869105387,-1.8296929088388567,-1.8810054645657657,-2.5937063499559,-1.2457786765693961,-1.8695220071700285,26.25
