,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.3915001452600413,-2.0444282813880945,-1.8687304627821755,-2.2849691770490064,-1.7350705696782864,8.652548845857382e-05,0.0
1,-1.3910908620607878,-2.0438288986503435,-1.8687106122606116,-2.2864873583626286,-1.7343197899559744,-0.004913474511541429,1.25
2,-1.3898630124630276,-2.0420307504370903,-1.8686510606959201,-2.291041902303496,-1.7320674507890388,-0.019913474511541396,2.5
3,-1.3878165964667606,-2.0390338367483345,-1.8685518080881012,-2.2986328088716075,-1.728313552177479,-0.044913474511541325,3.75
4,-1.3849516140719869,-2.034838157584077,-1.8684128544371543,-2.3092600780669637,-1.7230580941212954,-0.07991347451154135,5.0
5,-1.3812373959340605,-2.029449408150702,-1.8682348119256784,-2.322846778604063,-1.7161154548599864,-0.12491343847431341,6.25
6,-1.3766011170188035,-2.0228811082575353,-1.8680191340460572,-2.3392102489545445,-1.7070448805960892,-0.17991330736153602,7.5
7,-1.3709842198063749,-2.015144130451012,-1.867766989590751,-2.358203608178342,-1.6954919640410449,-0.24491302281663785,8.75
8,-1.3643205647668206,-2.0062472673036114,-1.8674943515344278,-2.379577388490094,-1.6810845645297157,-0.31991254533119584,10.0
9,-1.356531157971188,-1.9961990762964823,-1.867228462260142,-2.402987071931239,-1.6633939049967577,-0.4049118458882025,11.25
10,-1.3475356241974559,-1.9850092887904403,-1.867003245524503,-2.4280215650901966,-1.6419971145926655,-0.499910850498719,12.5
11,-1.3372470862871058,-1.9726872374619688,-1.866870414253361,-2.4541274778669524,-1.6164669396079592,-0.6049095190072571,13.75
12,-1.3255917303345346,-1.9592458744065793,-1.8668971688731177,-2.4806109167573216,-1.5864825307286938,-0.7199078122316622,15.0
13,-1.3125046786952899,-1.9447034744700602,-1.8671593477576511,-2.5066802116808704,-1.55178559751971,-0.8449056789863888,16.25
14,-1.2979522876347414,-1.9290870728139702,-1.8677499093902732,-2.5313772110876305,-1.5123217468957688,-0.9799030968290584,17.5
15,-1.2819479665529177,-1.9124362576833154,-1.8687722717034858,-2.5536265671513703,-1.4683053843604479,-1.1249000619853344,18.75
16,-1.2652701663419672,-1.8955123717584215,-1.8702651544080786,-2.5716224517903545,-1.4222230273228063,-1.2736327163843963,20.0
17,-1.2495653267688795,-1.8798413576608757,-1.8720862876373279,-2.5839140080200047,-1.3790376211220225,-1.4127999828884423,21.25
18,-1.2350219427168656,-1.8654534915687726,-1.8741518308094502,-2.5913648230997324,-1.3395602790685137,-1.541967511335237,22.5
19,-1.2217223220971791,-1.8523213448282394,-1.876378895375876,-2.5949090779529684,-1.304157703562346,-1.6611379477450743,23.75
20,-1.2096949307402354,-1.8404140534957099,-1.8786867515413954,-2.5954245287701454,-1.2729069741644246,-1.770310082011477,25.0
21,-1.1989440946453334,-1.829701157615957,-1.8810003192138725,-2.593712464837386,-1.2457629298505393,-1.8694833270168312,26.25
22,-1.1894456765691497,-1.8201526160074524,-1.88324837987867,-2.590504471733769,-1.2225317262910749,-1.9586576025324258,27.5
23,-1.1811575582542717,-1.8117443066858894,-1.8853693007896015,-2.5864112074691037,-1.2028916361112791,-2.0378559037774946,28.75
24,-1.1757212351907502,-1.806215560646586,-1.8867888784689306,-2.583495068811136,-1.1901223186772432,-2.113812888731332,30.0
25,-1.1744361653664384,-1.804908855137092,-1.8871242930536358,-2.5828060330596836,-1.1871041529254676,-2.191110268932688,31.25
26,-1.1744362329696272,-1.804909235917403,-1.8871240414346557,-2.5828065498335957,-1.1871047303469322,-2.275498109087123,32.5
27,-1.174436296764874,-1.8049096712776245,-1.887123731969346,-2.5828072335278436,-1.1871052758021927,-2.3698859399543633,33.75
28,-1.1744363067197692,-1.8049097824895601,-1.8871236922887404,-2.582807335524543,-1.1871053548694943,-2.4742737615406565,35.0
29,-1.1744363034815957,-1.804909819705065,-1.887123718764345,-2.5828072938539615,-1.1871053192973509,-2.588661575726984,36.25
30,-1.1744363066716197,-1.80490985773567,-1.88712375138399,-2.582807236553737,-1.1871052966861244,-2.7130493816268944,37.5
31,-1.174436326486513,-1.8049098938810575,-1.8871237930058213,-2.582807157626349,-1.1871053163340797,-2.8474371792818998,38.75
32,-1.1744363519598033,-1.8049099309345467,-1.8871238372046906,-2.582807075441064,-1.1871053420095576,-2.991824968201413,40.0
33,-1.1744363943106404,-1.804909964132924,-1.8871238823822414,-2.582806997765822,-1.1871053850415714,-3.146212750384516,41.25
34,-1.1744364462450414,-1.8049099947174296,-1.887123928001943,-2.5828069224151466,-1.18710543761597,-3.3106005294877665,42.5
35,-1.174436511601149,-1.8049100194017682,-1.8871239720844355,-2.5828068546972798,-1.1871055035042681,-3.4834837579593407,43.75
36,-1.1744365833610653,-1.804910033143645,-1.8871240075935134,-2.5828068065572185,-1.1871055756362865,-3.650113837527538,45.0
37,-1.1744366540303959,-1.8049100423746933,-1.8871240384117538,-2.5828067675887425,-1.1871056466038175,-3.8067439170957327,46.25
38,-1.1744367252208203,-1.804910038829624,-1.8871240570624133,-2.582806753534982,-1.1871057178912656,-3.9533739966639176,47.5
39,-1.1744367918668273,-1.8049100347740477,-1.8871240738114696,-2.582806741824069,-1.1871057846164366,-4.090004076232096,48.75
40,-1.1744368532987137,-1.8049100210852336,-1.887124079647737,-2.58280675055369,-1.1871058459636687,-4.216634155800275,50.0
41,-1.1744369098485266,-1.8049100075682283,-1.887124084136165,-2.5828067603870046,-1.187105902421043,-4.333264235368457,51.25
42,-1.1744369593198092,-1.8049099911507902,-1.8871240836310221,-2.58280677800038,-1.1871059517387104,-4.439894314936637,52.5
43,-1.1744370020944785,-1.80490997252818,-1.8871240789216577,-2.582806801916904,-1.187105994310422,-4.53652439450482,53.75
44,-1.1744370404425086,-1.8049099558327808,-1.887124074699647,-2.58280682335837,-1.187106032476498,-4.623154474073002,55.0
45,-1.1744370722460298,-1.8049099394039116,-1.8871240687058042,-2.5828068462082734,-1.1871060640882052,-4.6997845536411855,56.25
46,-1.1744370965394453,-1.8049099224844225,-1.8871240599100978,-2.5828068722372115,-1.1871060881658755,-4.766414633209369,57.5
47,-1.1744371171868475,-1.804909908104251,-1.8871240524344717,-2.582806894359666,-1.1871061086299122,-4.823044712777552,58.75
48,-1.1744371341882376,-1.8049098962633983,-1.8871240462789227,-2.582806912575636,-1.1871061254803161,-4.869674792345733,60.0
49,-1.174437147543614,-1.8049098869618625,-1.8871240414434551,-2.582806926885122,-1.1871061387170863,-4.906304871913915,61.25
50,-1.174437157252977,-1.8049098801996426,-1.8871240379280687,-2.5828069372881224,-1.1871061483402223,-4.932934951482096,62.5
51,-1.1744371633163264,-1.8049098759767392,-1.887124035732763,-2.582806943784638,-1.1871061543497243,-4.949565031050279,63.75
52,-1.175142775083383,-1.8066757512036233,-1.8848186812028205,-2.583351579506502,-1.1878107852653657,-4.95753297005339,65.0
53,-1.1767810972550672,-1.8107758651176245,-1.8794659811888987,-2.584616138809974,-1.1894468306659796,-4.956364854470269,66.25
54,-1.1771428370459946,-1.8116811763272964,-1.878284100799199,-2.584895355717823,-1.1898080705290004,-4.946573314092428,67.5
55,-1.1771428309513199,-1.8116811817947207,-1.8782841009626803,-2.5848953582557863,-1.1898080700707152,-4.9276003704129305,68.75
56,-1.1771428216443465,-1.8116811901438403,-1.878284101212327,-2.584895362131424,-1.1898080693708835,-4.898627426733432,70.0
57,-1.1771428091250755,-1.8116812013746557,-1.8782841015481395,-2.5848953673447372,-1.1898080684295052,-4.8596544830539345,71.25
