,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.529050011478067,-2.0787821346014987,-1.751460405090016,-2.319196445869579,-1.8725059583834094,1.1193320527678707e-05,0.0
1,-1.5284218541925427,-2.078236608459862,-1.751613151045296,-2.320578742464914,-1.87165970570162,-0.004988806679472316,1.0
2,-1.5265373823359705,-2.076600030034951,-1.7520713889111357,-2.3247256322509178,-1.8691209476562523,-0.019988806679472296,2.0
3,-1.5233965959083495,-2.073872399326766,-1.752835118687535,-2.331637115227591,-1.8648896842473057,-0.04498880667947233,3.0
4,-1.5189994949096803,-2.0700537163353068,-1.7539043403744943,-2.341313191394934,-1.8589659154747806,-0.07998880667947257,4.0
5,-1.5133103451262793,-2.0651459507369925,-1.7552775054125183,-2.3537025314807316,-1.8511680915909503,-0.1249887135677577,5.0
6,-1.5062293438839647,-2.0591545899773855,-1.756950293052942,-2.3686618310494336,-1.840989214677907,-0.17998838536948197,6.0
7,-1.497677703482276,-2.05208396368136,-1.7589192930772342,-2.386077969873358,-1.8280290524756486,-0.24498773031144333,7.0
8,-1.487561675900018,-2.0439365571881742,-1.76119137283937,-2.405752570668211,-1.8118459520234125,-0.3199866536670245,8.0
9,-1.475763622102086,-2.0347125536611856,-1.7637871671857075,-2.427366562961602,-1.7919237495926827,-0.40498507637134185,9.0
10,-1.4621586509112499,-2.0244157465043835,-1.7667244572551124,-2.4505728359719163,-1.7677150210091088,-0.4999828575792552,10.0
11,-1.4466023894988975,-2.0130511425904896,-1.770037046239999,-2.4748449106090527,-1.7386487447545431,-0.6049798820356571,11.0
12,-1.4289553408624545,-2.0006356655903916,-1.7737575000567714,-2.499545663020617,-1.704213131526917,-0.7199760228989018,12.0
13,-1.4090774014555894,-1.9871976739419583,-1.777918757440418,-2.5239188905437326,-1.6639225905663464,-0.8449711525180561,13.0
14,-1.3868609321391423,-1.9727925409833538,-1.7825486108262771,-2.547026140640355,-1.6174905495695096,-0.9799652029455805,14.0
15,-1.3622586483999493,-1.9575113889706468,-1.7876615998634102,-2.5677939830066197,-1.5649002558210114,-1.1249321939811094,15.0
16,-1.3372284223311035,-1.942601861165864,-1.79286056976263,-2.583988221981535,-1.5106744644101497,-1.268905264147522,16.0
17,-1.3135810574966014,-1.929031745012138,-1.7977854455485391,-2.594902789795069,-1.4592274874121565,-1.402877720240032,17.0
18,-1.2915564221125813,-1.9167821533994844,-1.8024041137747593,-2.6013349872641274,-1.4114726534677946,-1.5268496883136156,18.0
19,-1.2713108001782434,-1.905807836692814,-1.806696715471238,-2.604111148838065,-1.3679613687804695,-1.6408198226040895,19.0
20,-1.2529388112478208,-1.896051505494876,-1.810650098843025,-2.6040265460409193,-1.328992436688151,-1.744789103083543,20.0
21,-1.2364916609716723,-1.887449801228093,-1.8142558596863076,-2.6018330309004654,-1.2946942116497562,-1.8387576838525432,21.0
22,-1.2219529230057944,-1.8799368192486676,-1.8175054080198925,-2.598211475493661,-1.264921262153802,-1.922726917619639,22.0
23,-1.2093071635739991,-1.873454664639421,-1.8203916813115126,-2.5937558102005647,-1.2395446502078178,-1.9966967618547828,23.0
24,-1.198743691057002,-1.8680708540481545,-1.8228385284310977,-2.5892566806662654,-1.2186580078499498,-2.061751989636052,24.0
25,-1.1926505027846914,-1.8649668065663285,-1.8242513569970729,-2.5866287413300832,-1.2066236121149705,-2.127103074134113,25.0
26,-1.1913976118204224,-1.8643287683169498,-1.8245417297001065,-2.5860886003163124,-1.2041494592563682,-2.194005860224908,26.0
27,-1.1913976706801284,-1.864329112288619,-1.8245415135026488,-2.586088983554922,-1.2041500760578214,-2.2685246961963417,27.0
28,-1.1913977277089987,-1.8643295127435326,-1.8245412358063786,-2.586089541767701,-1.2041506889265938,-2.35304352480839,28.0
29,-1.191397750048225,-1.86432969785327,-1.8245411323002085,-2.586089758602125,-1.2041509270313537,-2.447562349995487,29.0
30,-1.1913977476702322,-1.8643297316977678,-1.8245411527576374,-2.5860897320730243,-1.2041508983406952,-2.55208117186549,30.0
31,-1.1913977444261796,-1.8643297683871551,-1.8245411766543471,-2.5860896965660545,-1.2041508614087442,-2.6665999888331267,31.0
32,-1.1913977606925736,-1.8643298015786787,-1.82454121298146,-2.586089627666489,-1.2041508751651469,-2.7911187960924764,32.0
33,-1.191397779575926,-1.864329836980815,-1.82454125296033,-2.5860895510339414,-1.2041508937834822,-2.9256375951066724,33.0
34,-1.1913978132747725,-1.864329869220573,-1.8245412941979888,-2.5860894777000816,-1.2041509279122287,-3.0701563855957374,34.0
35,-1.191397853646836,-1.86432990181753,-1.8245413377257778,-2.5860894022379592,-1.2041509689623102,-3.2246751685976935,35.0
36,-1.1913979108887764,-1.8643299263859152,-1.8245413790200362,-2.586089337298868,-1.204151026733765,-3.3891939434467,36.0
37,-1.1913979743892253,-1.8643299480015567,-1.8245414195127183,-2.5860892762037575,-1.2041510907207713,-3.5598718992461293,37.0
38,-1.1913980440508756,-1.8643299575787404,-1.824541450611838,-2.5860892365978185,-1.2041511606892192,-3.7219958108150473,38.0
39,-1.1913981114392467,-1.8643299615440818,-1.8245414757012934,-2.586089208564041,-1.2041512282895983,-3.8741197223839565,39.0
