,N_muestra,Marca_tiempo,AO_state:
0,0,17:56:05:0.96538,True
1,1,17:56:06:0.97242,True
2,2,17:56:07:0.97261,True
3,3,17:56:08:0.97149,True
4,4,17:56:09:0.97118,True
5,5,17:56:10:0.97333,True
6,6,17:56:11:0.97672,True
7,7,17:56:12:0.97220,True
8,8,17:56:13:0.97255,True
9,9,17:56:14:0.97083,True
10,10,17:56:15:0.97284,True
