,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,[],[],[],[],True,True
1,1,[],[],[],[],True,True
2,2,1716480137.7980733,"[-1.9257624785052698, -2.1423237959491175, 0.643447995185852, -4.610164586697714, -1.6590188185321253, 4.6029863357543945]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.110718250274658, 2.389770030975342, 0.0986938551068306, 0.008972168900072575, 0.0515899695456028, 0.4119873344898224]",0.024000730365514755,False
3,3,1716480138.8055751,"[-1.925798241292135, -2.142287556325094, 0.6434119939804077, -4.610200587903158, -1.6590068976031702, 4.6029863357543945]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.078674793243408, 2.3987371921539307, 0.1099090725183487, 0.01345825381577015, 0.0807495191693306, 0.4119873344898224]",0.02399267628788948,False
4,4,1716480139.8111897,"[-1.925798241292135, -2.1423237959491175, 0.643436074256897, -4.610164586697714, -1.65898305574526, 4.602938175201416]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.064941883087158, 2.4009790420532227, 0.1166381984949112, 0.01345825381577015, 0.0471038855612278, 0.4211426079273224]",0.0240329597145319,False
5,5,1716480140.8176968,"[-1.9257624785052698, -2.142311398183004, 0.643436074256897, -4.610212508832113, -1.65898305574526, 4.602950096130371]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.051208972930908, 2.4009790420532227, 0.1143951565027237, 0.01794433780014515, 0.0695343092083931, 0.4028320610523224]",0.01931176707148552,False
6,6,1716480141.8217356,"[-1.925798241292135, -2.1423595587359827, 0.6434000730514526, -4.610152665768759, -1.6590307394610804, 4.602962493896484]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.161072254180908, 2.394253730773926, 0.1143951565027237, 0.006729126907885075, 0.0426178015768528, 0.4074096977710724]",0.013656005263328552,False
7,7,1716480142.8256152,"[-1.9258101622210901, -2.1423237959491175, 0.6434119939804077, -4.610152665768759, -1.6590068976031702, 4.6029744148254395]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.083252429962158, 2.383044719696045, 0.1121521145105362, 0.006729126907885075, 0.0471038855612278, 0.4257202446460724]",0.013913816772401333,False
8,8,1716480143.8313022,"[-1.9258101622210901, -2.142287556325094, 0.6434119939804077, -4.610176626835958, -1.6590068976031702, 4.603010177612305]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.119873523712158, 2.3964955806732178, 0.1031799390912056, 0.01570129580795765, 0.0650482252240181, 0.4394531846046448]",0.015138426795601845,False
9,9,1716480144.8349085,"[-1.925798241292135, -2.1423237959491175, 0.6434000730514526, -4.610176626835958, -1.6589949766742151, 4.6029744148254395]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.216003894805908, 2.4077045917510986, 0.1031799390912056, 0.01345825381577015, 0.0471038855612278, 0.3982544243335724]",0.0133820790797472,False
10,10,1716480145.8390722,"[-1.9257505575763147, -2.1423476378070276, 0.6434119939804077, -4.610164586697714, -1.6589949766742151, 4.602938175201416]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.101562976837158, 2.3987371921539307, 0.1076660305261612, 0.008972168900072575, 0.0583190992474556, 0.4074096977710724]",0.01294702012091875,False
11,11,1716480146.8432548,"[-1.9257262388812464, -2.1423237959491175, 0.6434119939804077, -4.610176626835958, -1.6589468161212366, 4.6029744148254395]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.092407703399658, 2.4032208919525146, 0.1121521145105362, 0.0022430422250181437, 0.0493469275534153, 0.4074096977710724]",0.009369871579110622,False
12,12,1716480147.8470757,"[-1.9257624785052698, -2.142311398183004, 0.6434000730514526, -4.610164586697714, -1.6590068976031702, 4.6029744148254395]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.083252429962158, 2.3987371921539307, 0.1031799390912056, 0.008972168900072575, 0.0358886756002903, 0.4394531846046448]",0.009522948414087296,False
13,13,1716480148.851252,"[-1.92578632036318, -2.1423237959491175, 0.6434241533279419, -4.610140625630514, -1.6589949766742151, 4.6029744148254395]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.119873523712158, 2.4099464416503906, 0.1121521145105362, 0.011215210892260075, 0.0515899695456028, 0.4165649712085724]",0.014413328841328621,False
14,14,1716480149.8549807,"[-1.92578632036318, -2.142299477254049, 0.6434119939804077, -4.610200587903158, -1.6590068976031702, 4.602962493896484]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.087830066680908, 2.394253730773926, 0.0986938551068306, 0.011215210892260075, 0.0560760572552681, 0.4394531846046448]",0.015960203483700752,False
15,15,1716480150.8583004,"[-1.925798241292135, -2.1423237959491175, 0.6434241533279419, -4.610164586697714, -1.6589706579791468, 4.6029863357543945]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.156494617462158, 2.392011880874634, 0.0964508131146431, 0.01345825381577015, 0.0493469275534153, 0.3936767876148224]",0.016298582777380943,False
16,16,1716480151.8636127,"[-1.9257624785052698, -2.142287556325094, 0.6434000730514526, -4.610140625630514, -1.6589468161212366, 4.602962493896484]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.055786609649658, 2.3964955806732178, 0.1031799390912056, 0.01570129580795765, 0.0493469275534153, 0.4440308213233948]",0.023976560682058334,False
17,17,1716480152.866512,"[-1.92578632036318, -2.142299477254049, 0.643436074256897, -4.610200587903158, -1.6590307394610804, 4.6029863357543945]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.064941883087158, 2.389770030975342, 0.1054229810833931, 0.004486084450036287, 0.0583190992474556, 0.4302978813648224]",0.023984618484973907,False
18,18,1716480153.8707252,"[-1.9258220831500452, -2.1423237959491175, 0.643447995185852, -4.610188547764913, -1.6589348951922815, 4.602938175201416]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.119873523712158, 2.3987371921539307, 0.0964508131146431, 0.004486084450036287, 0.0628051832318306, 0.4028320610523224]",0.0240329597145319,False
19,19,1716480154.873839,"[-1.92578632036318, -2.1423237959491175, 0.643436074256897, -4.610176626835958, -1.6590307394610804, 4.6029744148254395]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.106140613555908, 2.4032208919525146, 0.1121521145105362, 0.01570129580795765, 0.0426178015768528, 0.4119873344898224]",0.02399267628788948,False
20,20,1716480155.8776135,"[-1.9257624785052698, -2.142299477254049, 0.643436074256897, -4.610188547764913, -1.6590188185321253, 4.6029863357543945]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.115295886993408, 2.3964955806732178, 0.1054229810833931, 0.01345825381577015, 0.0650482252240181, 0.4531860947608948]",0.023976560682058334,False
