,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,1711722470.1760435,"[-1.7856771625675951, -1.0415131153191213, -1.8869872375840557, -1.5815204118165933, -2.561913371832988, 0.9827321518515786]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
1,1,1711722471.3379364,"[-1.5631513545526792, -1.3177197557535358, -1.8332973331413218, -1.580467533870699, -2.740854997566211, 1.161955383150259]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
2,2,1711722472.3406396,"[-1.6796323659533985, -1.2419805868361242, -1.7925567242783003, -1.5811058027260987, -2.459502776758613, 0.8810640201093304]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
3,3,1711722473.3465562,"[-1.6211105687144947, -1.3415676230876217, -1.7514879208293563, -1.58083220195836, -2.722162565914782, 1.1440579485609566]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
4,4,1711722474.352752,"[-1.4645873804205183, -1.528243397392054, -1.72133013541341, -1.5800318871248578, -2.510731257416718, 0.9328633836950034]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
5,5,1711722475.356488,"[-1.7450635254008153, -1.272932715997337, -1.6961696944738065, -1.5814705387644266, -2.5825616949785877, 1.0051013162710294]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
6,6,1711722476.3604348,"[-1.4212488012429696, -1.6378143146101443, -1.6550940170723927, -1.5797964274649934, -2.6882202091182728, 1.1109824445514236]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
7,7,1711722477.364081,"[-1.6620249827503368, -1.4386574395050815, -1.613477345175219, -1.5810110927838894, -2.459269012470018, 0.8824888996537258]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
8,8,1711722478.369699,"[-1.5912556569505, -1.5499184028613886, -1.5729824037996232, -1.5806055696681474, -2.726431644150031, 1.149976582327738]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
9,9,1711722479.3748155,"[-1.463496598390806, -1.705721663369831, -1.5449348712828186, -1.5799059114731362, -2.5008977966788475, 0.9246766567243331]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
10,10,1711722480.3781226,"[-1.7373567406738581, -1.4585684776751164, -1.518230402025969, -1.5812675345768252, -2.5910405898301776, 1.0152274917795379]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
11,11,1711722481.3825395,"[-1.4178565480368026, -1.8168935247018867, -1.479399665823431, -1.5795513181839693, -2.6783222371383943, 1.1027143520445268]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
12,12,1711722482.3893306,"[-1.6811693421713072, -1.5941043015032663, -1.4388770624493816, -1.5808160262319502, -2.462665719678887, 0.8875128964401388]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
13,13,1711722483.3949428,"[-1.5899094528738091, -1.7287137004369018, -1.3955246442795108, -1.5802331496739404, -2.730055720373112, 1.1552211889643773]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
14,14,1711722484.3985028,"[-1.490983860725902, -1.8583140780667218, -1.3648478044972496, -1.5796294267139053, -2.4930967157947967, 0.9185074751977949]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
