,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,[],[],[],[],True,True
1,1,[],[],[],[],True,True
2,2,[],[],[],[],True,True
3,3,[],[],[],[],True,True
4,4,[],[],[],[],True,True
5,5,[],[],[],[],True,True
6,6,[],[],[],[],True,True
7,7,[],[],[],[],True,True
8,8,[],[],[],[],True,True
9,9,[],[],[],[],True,True
10,10,[],[],[],[],True,True
11,11,[],[],[],[],True,True
12,12,[],[],[],[],True,True
13,13,[],[],[],[],True,True
14,14,[],[],[],[],True,True
15,15,[],[],[],[],True,True
16,16,[],[],[],[],True,True
17,17,[],[],[],[],True,True
18,18,[],[],[],[],True,True
19,19,[],[],[],[],True,True
20,20,[],[],[],[],True,True
21,21,[],[],[],[],True,True
22,22,[],[],[],[],True,True
23,23,[],[],[],[],True,True
24,24,[],[],[],[],True,True
25,25,[],[],[],[],True,True
26,26,[],[],[],[],True,True
27,27,[],[],[],[],True,True
28,28,[],[],[],[],True,True
29,29,[],[],[],[],True,True
30,30,[],[],[],[],True,True
31,31,[],[],[],[],True,True
32,32,[],[],[],[],True,True
33,33,[],[],[],[],True,True
34,34,[],[],[],[],True,True
35,35,[],[],[],[],True,True
36,36,[],[],[],[],True,True
37,37,[],[],[],[],True,True
38,38,[],[],[],[],True,True
39,39,[],[],[],[],True,True
40,40,[],[],[],[],True,True
41,41,[],[],[],[],True,True
42,42,[],[],[],[],True,True
43,43,[],[],[],[],True,True
44,44,[],[],[],[],True,True
45,45,[],[],[],[],True,True
46,46,[],[],[],[],True,True
47,47,[],[],[],[],True,True
48,48,[],[],[],[],True,True
49,49,[],[],[],[],True,True
50,50,[],[],[],[],True,True
51,51,[],[],[],[],True,True
52,52,[],[],[],[],True,True
53,53,[],[],[],[],True,True
54,54,[],[],[],[],True,True
55,55,[],[],[],[],True,True
56,56,[],[],[],[],True,True
57,57,[],[],[],[],True,True
58,58,[],[],[],[],True,True
59,59,[],[],[],[],True,True
60,60,[],[],[],[],True,True
61,61,[],[],[],[],True,True
62,62,[],[],[],[],True,True
63,63,[],[],[],[],True,True
64,64,[],[],[],[],True,True
65,65,[],[],[],[],True,True
66,66,[],[],[],[],True,True
67,67,[],[],[],[],True,True
68,68,[],[],[],[],True,True
69,69,[],[],[],[],True,True
70,70,[],[],[],[],True,True
71,71,[],[],[],[],True,True
72,72,[],[],[],[],True,True
73,73,[],[],[],[],True,True
74,74,[],[],[],[],True,True
75,75,[],[],[],[],True,True
76,76,[],[],[],[],True,True
77,77,[],[],[],[],True,True
78,78,[],[],[],[],True,True
79,79,[],[],[],[],True,True
80,80,[],[],[],[],True,True
81,81,[],[],[],[],True,True
82,82,[],[],[],[],True,True
83,83,[],[],[],[],True,True
84,84,[],[],[],[],True,True
85,85,[],[],[],[],True,True
86,86,[],[],[],[],True,True
87,87,[],[],[],[],True,True
88,88,[],[],[],[],True,True
89,89,[],[],[],[],True,True
90,90,[],[],[],[],True,True
91,91,[],[],[],[],True,True
92,92,[],[],[],[],True,True
93,93,[],[],[],[],True,True
94,94,[],[],[],[],True,True
95,95,[],[],[],[],True,True
96,96,[],[],[],[],True,True
97,97,[],[],[],[],True,True
98,98,[],[],[],[],True,True
99,99,[],[],[],[],True,True
100,100,[],[],[],[],True,True
101,101,[],[],[],[],True,True
102,102,[],[],[],[],True,True
103,103,[],[],[],[],True,True
104,104,[],[],[],[],True,True
105,105,[],[],[],[],True,True
106,106,[],[],[],[],True,True
107,107,[],[],[],[],True,True
108,108,[],[],[],[],True,True
109,109,[],[],[],[],True,True
110,110,[],[],[],[],True,True
111,111,[],[],[],[],True,True
112,112,[],[],[],[],True,True
113,113,[],[],[],[],True,True
114,114,[],[],[],[],True,True
115,115,[],[],[],[],True,True
116,116,[],[],[],[],True,True
117,117,[],[],[],[],True,True
118,118,[],[],[],[],True,True
119,119,[],[],[],[],True,True
120,120,[],[],[],[],True,True
121,121,[],[],[],[],True,True
122,122,[],[],[],[],True,True
123,123,[],[],[],[],True,True
124,124,[],[],[],[],True,True
125,125,[],[],[],[],True,True
126,126,[],[],[],[],True,True
127,127,[],[],[],[],True,True
128,128,[],[],[],[],True,True
129,129,[],[],[],[],True,True
130,130,[],[],[],[],True,True
131,131,[],[],[],[],True,True
132,132,[],[],[],[],True,True
133,133,[],[],[],[],True,True
134,134,[],[],[],[],True,True
135,135,[],[],[],[],True,True
136,136,[],[],[],[],True,True
137,137,[],[],[],[],True,True
138,138,[],[],[],[],True,True
139,139,[],[],[],[],True,True
140,140,[],[],[],[],True,True
141,141,[],[],[],[],True,True
142,142,[],[],[],[],True,True
143,143,[],[],[],[],True,True
144,144,[],[],[],[],True,True
145,145,[],[],[],[],True,True
146,146,[],[],[],[],True,True
147,147,[],[],[],[],True,True
148,148,[],[],[],[],True,True
149,149,[],[],[],[],True,True
150,150,[],[],[],[],True,True
151,151,[],[],[],[],True,True
152,152,[],[],[],[],True,True
153,153,[],[],[],[],True,True
154,154,[],[],[],[],True,True
155,155,[],[],[],[],True,True
156,156,[],[],[],[],True,True
157,157,[],[],[],[],True,True
158,158,[],[],[],[],True,True
159,159,[],[],[],[],True,True
160,160,[],[],[],[],True,True
161,161,[],[],[],[],True,True
162,162,[],[],[],[],True,True
163,163,[],[],[],[],True,True
164,164,[],[],[],[],True,True
165,165,[],[],[],[],True,True
166,166,[],[],[],[],True,True
167,167,[],[],[],[],True,True
168,168,[],[],[],[],True,True
169,169,[],[],[],[],True,True
170,170,[],[],[],[],True,True
171,171,[],[],[],[],True,True
172,172,[],[],[],[],True,True
173,173,[],[],[],[],True,True
174,174,[],[],[],[],True,True
175,175,[],[],[],[],True,True
176,176,[],[],[],[],True,True
177,177,[],[],[],[],True,True
178,178,[],[],[],[],True,True
179,179,[],[],[],[],True,True
180,180,[],[],[],[],True,True
181,181,[],[],[],[],True,True
182,182,[],[],[],[],True,True
183,183,[],[],[],[],True,True
184,184,[],[],[],[],True,True
185,185,[],[],[],[],True,True
186,186,[],[],[],[],True,True
187,187,[],[],[],[],True,True
188,188,[],[],[],[],True,True
189,189,[],[],[],[],True,True
190,190,[],[],[],[],True,True
191,191,[],[],[],[],True,True
192,192,[],[],[],[],True,True
193,193,[],[],[],[],True,True
194,194,[],[],[],[],True,True
195,195,[],[],[],[],True,True
196,196,[],[],[],[],True,True
197,197,[],[],[],[],True,True
198,198,[],[],[],[],True,True
199,199,[],[],[],[],True,True
200,200,[],[],[],[],True,True
201,201,[],[],[],[],True,True
202,202,[],[],[],[],True,True
203,203,[],[],[],[],True,True
204,204,[],[],[],[],True,True
205,205,[],[],[],[],True,True
206,206,[],[],[],[],True,True
207,207,[],[],[],[],True,True
208,208,[],[],[],[],True,True
209,209,[],[],[],[],True,True
210,210,[],[],[],[],True,True
211,211,[],[],[],[],True,True
212,212,[],[],[],[],True,True
213,213,[],[],[],[],True,True
214,214,[],[],[],[],True,True
215,215,[],[],[],[],True,True
216,216,[],[],[],[],True,True
217,217,[],[],[],[],True,True
218,218,[],[],[],[],True,True
219,219,[],[],[],[],True,True
220,220,[],[],[],[],True,True
221,221,[],[],[],[],True,True
222,222,[],[],[],[],True,True
223,223,[],[],[],[],True,True
224,224,[],[],[],[],True,True
225,225,[],[],[],[],True,True
226,226,[],[],[],[],True,True
227,227,[],[],[],[],True,True
228,228,[],[],[],[],True,True
229,229,[],[],[],[],True,True
230,230,[],[],[],[],True,True
231,231,[],[],[],[],True,True
232,232,[],[],[],[],True,True
233,233,[],[],[],[],True,True
234,234,[],[],[],[],True,True
235,235,[],[],[],[],True,True
236,236,[],[],[],[],True,True
237,237,[],[],[],[],True,True
238,238,[],[],[],[],True,True
239,239,[],[],[],[],True,True
240,240,[],[],[],[],True,True
241,241,[],[],[],[],True,True
242,242,[],[],[],[],True,True
243,243,[],[],[],[],True,True
244,244,[],[],[],[],True,True
245,245,[],[],[],[],True,True
246,246,[],[],[],[],True,True
247,247,[],[],[],[],True,True
248,248,[],[],[],[],True,True
249,249,[],[],[],[],True,True
250,250,[],[],[],[],True,True
251,251,[],[],[],[],True,True
252,252,[],[],[],[],True,True
253,253,[],[],[],[],True,True
254,254,[],[],[],[],True,True
255,255,[],[],[],[],True,True
256,256,[],[],[],[],True,True
257,257,[],[],[],[],True,True
258,258,[],[],[],[],True,True
259,259,[],[],[],[],True,True
260,260,[],[],[],[],True,True
261,261,[],[],[],[],True,True
262,262,[],[],[],[],True,True
263,263,[],[],[],[],True,True
264,264,[],[],[],[],True,True
265,265,[],[],[],[],True,True
266,266,[],[],[],[],True,True
267,267,[],[],[],[],True,True
268,268,[],[],[],[],True,True
269,269,[],[],[],[],True,True
270,270,1712157846.280575,"[-1.5693329016314905, -1.3486650625811976, -1.7957456747638147, -1.5803545157061976, -2.45564848581423, 0.8770527839660645]","[-0.4310741722583771, 0.38802045583724976, 0.036144424229860306, -0.0028186896815896034, 0.12082016468048096, -0.11846166849136353]","[0.5905151963233948, 4.402915954589844, 0.5338440537452698, -0.2422485649585724, 0.3813171684741974, -0.8834840059280396]",0.004000000189989805,False
271,271,1712157846.2965076,"[-1.5728228727923792, -1.3455961386310022, -1.795410458241598, -1.5803783575641077, -2.4547253290759485, 0.8761891722679138]","[-0.42702192068099976, 0.38334181904792786, 0.03472549095749855, -0.001725728390738368, 0.11159710586071014, -0.10971798002719879]","[1.1444092988967896, 4.6158881187438965, 0.6056213974952698, -0.2579498589038849, 0.5293579697608948, -0.9429932832717896]",0.004000000189989805,False
272,272,1712157846.3096151,"[-1.576228443776266, -1.3425028959857386, -1.79517108598818, -1.580414120350973, -2.4539459387408655, 0.8753491640090942]","[-0.41846996545791626, 0.3807084858417511, 0.034457042813301086, -0.0012847089674323797, 0.1038888543844223, -0.10005389899015427]","[1.3046265840530396, 4.653998851776123, 0.6190796494483948, -0.2512207329273224, 0.4306641221046448, -1.1306763887405396]",0.004000000189989805,False
273,273,1712157846.3234465,"[-1.5795858542071741, -1.3394578138934534, -1.7949312368976038, -1.5804384390460413, -2.453094784413473, 0.8746413588523865]","[-0.4224966764450073, 0.3908327519893646, 0.030660441145300865, -0.01098713744431734, 0.09756118059158325, -0.09247347712516785]","[0.6591797471046448, 4.528457164764404, 0.6661835312843323, -0.1345825344324112, 0.4082336723804474, -1.1489869356155396]",0.004000000189989805,False
274,274,1712157846.3376977,"[-1.5829437414752405, -1.3363893667804163, -1.7947281042682093, -1.5804980436908167, -2.4523876349078577, 0.8739455342292786]","[-0.4260503947734833, 0.3909989297389984, 0.028570393100380898, -0.0041609229519963264, 0.08766700327396393, -0.08471409231424332]","[0.9201050996780396, 4.869212627410889, 0.7088013291358948, -0.1502838283777237, 0.4979553818702698, -1.2222291231155396]",0.004000000189989805,False
275,275,1712157846.351193,"[-1.5863130728351038, -1.3331645170794886, -1.7944768110858362, -1.5804622809039515, -2.4517040888415735, 0.8733215928077698]","[-0.42134618759155273, 0.39143356680870056, 0.028973063454031944, -0.00310631119646132, 0.08130098134279251, -0.07889774441719055]","[0.9384156465530396, 4.571051597595215, 0.6953430771827698, -0.2243042290210724, 0.5316010117530823, -1.1856080293655396]",0.004000000189989805,False
276,276,1712157846.363517,"[-1.5896709601031702, -1.3298915068255823, -1.79421312013735, -1.5804861227618616, -2.4511526266681116, 0.8727219700813293]","[-0.4261142909526825, 0.4060575067996979, 0.030008500441908836, -0.0027228158432990313, 0.07088908553123474, -0.06994952261447906]","[0.3662109673023224, 4.400674343109131, 0.5831909775733948, -0.2400055229663849, 0.4172058403491974, -1.0620118379592896]",0.004000000189989805,False
277,277,1712157846.3757648,"[-1.593088452016012, -1.326618496571676, -1.7940095106707972, -1.5805342833148401, -2.4505892435656946, 0.8721942901611328]","[-0.4323652684688568, 0.41528695821762085, 0.027285683900117874, -0.0022626216523349285, 0.06458058953285217, -0.06258641928434372]","[0.2426147758960724, 4.183218479156494, 0.5966492295265198, -0.2534637749195099, 0.3050537407398224, -1.0162354707717896]",0.004000000189989805,False
278,278,1712157846.3882034,"[-1.5965903441058558, -1.323334042225973, -1.7938059012042444, -1.5805581251727503, -2.4501214663134974, 0.871714174747467]","[-0.43828389048576355, 0.4125002324581146, 0.025176459923386574, -0.0022626216523349285, 0.05501238629221916, -0.054673634469509125]","[0.7095337510108948, 4.17873477935791, 0.5697327256202698, -0.2601929008960724, 0.3656158745288849, -0.7644653916358948]",0.004000000189989805,False
279,279,1712157846.4007332,"[-1.600091282521383, -1.319989029561178, -1.7935903708087366, -1.5805099646197718, -2.4496660868274134, 0.8712823987007141]","[-0.4385395646095276, 0.41279423236846924, 0.02389175072312355, -0.0016490294365212321, 0.04784102737903595, -0.048358745872974396]","[0.3936767876148224, 4.362563133239746, 0.5450592637062073, -0.2758941948413849, 0.3925323784351349, -0.5218506455421448]",0.004000000189989805,False
280,280,1712157846.4144733,"[-1.603628937398092, -1.3166444937335413, -1.7934344450580042, -1.580522362385885, -2.4493425528155726, 0.87094646692276]","[-0.43795153498649597, 0.41760072112083435, 0.023124760016798973, -0.0013614079216495156, 0.04042039439082146, -0.03955113887786865]","[0.7049561142921448, 4.389464855194092, 0.5069275498390198, -0.2646789848804474, 0.4082336723804474, -0.4760742783546448]",0.004000000189989805,False
281,281,1712157846.4267855,"[-1.6106675306903284, -1.309991184865133, -1.7930992285357874, -1.5805462042437952, -2.44886285463442, 0.8705266118049622]","[-0.4379003942012787, 0.4150696396827698, 0.016720391809940338, -0.0018407769966870546, 0.019711652770638466, -0.021872010082006454]","[1.0803223848342896, 4.454477787017822, 0.6123505234718323, -0.2848663628101349, 0.3678589165210724, -0.7003784775733948]",0.004000000189989805,False
282,282,1712157846.4389825,"[-1.6141088644610804, -1.3067062536822718, -1.792943302785055, -1.580630127583639, -2.448754851018087, 0.8703468441963196]","[-0.42830023169517517, 0.4024398624897003, 0.017429856583476067, -0.0018407769966870546, 0.011025487445294857, -0.014125406742095947]","[1.3000489473342896, 4.705560207366943, 0.6527252793312073, -0.3207550346851349, 0.3072967827320099, -0.7003784775733948]",0.004000000189989805,False
283,283,1712157846.4512663,"[-1.6209920088397425, -1.3001731077777308, -1.7927277723895472, -1.5806778112994593, -2.4486709276782435, 0.8702865839004517]","[-0.4359956979751587, 0.42128226161003113, 0.01432354561984539, -0.0070946612395346165, 0.0029529130551964045, 0.0008309062686748803]","[1.0345460176467896, 4.470170021057129, 0.6931000351905823, -0.1390686184167862, 0.1323394924402237, 0.2243042290210724]",0.004000000189989805,False
