,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,1715616998.2458553,"[-1.4264724890338343, 1.8967995643615723, -2.270672623311178, 5.274406433105469, -1.1415918509112757, 1.1742225885391235]","[0.03855405002832413, 0.11639079451560974, -0.4028233587741852, 0.2765575647354126, 0.5131165981292725, 0.03461683541536331]","[-2.151489496231079, -2.17903995513916, -0.7020722031593323, 0.4059906303882599, 0.4194488823413849, 0.9201050996780396]",0.004000000189989805,False
1,1,1715616998.2458553,"[-1.4264724890338343, 1.8967995643615723, -2.270672623311178, 5.274406433105469, -1.1415918509112757, 1.1742225885391235]","[0.03855405002832413, 0.11639079451560974, -0.4028233587741852, 0.2765575647354126, 0.5131165981292725, 0.03461683541536331]","[-2.151489496231079, -2.17903995513916, -0.7020722031593323, 0.4059906303882599, 0.4194488823413849, 0.9201050996780396]",0.004000000189989805,False
2,2,1715617000.254265,"[-1.2313340345965784, 2.0159711837768555, -3.36747390428652, 5.451667785644531, 0.06324861943721771, 1.2757885456085205]","[0.1334179788827896, -0.015659388154745102, -0.5543039441108704, -0.12312113493680954, 0.6216840744018555, 0.06854337453842163]","[-2.453613519668579, -2.822439432144165, -0.6302948594093323, -0.3701019585132599, 0.4530945420265198, 1.4465333223342896]",0.004000000189989805,False
3,3,1715617001.2556152,"[-1.1111930052386683, 1.9912514686584473, -3.8165515104876917, 5.230737209320068, 0.6066163778305054, 1.3571138381958008]","[0.10126829892396927, -0.02991262637078762, -0.3299401104450226, -0.2928561270236969, 0.4409811496734619, 0.09007024019956589]","[-2.842712640762329, -2.6229183673858643, -0.5024414658546448, -0.4396362900733948, 0.4373932480812073, 0.8834840059280396]",0.004000000189989805,False
4,4,1715617002.25726,"[-1.0336392561541956, 1.9612722396850586, -4.028285328541891, 4.955840110778809, 0.9270491003990173, 1.4357521533966064]","[0.048652756959199905, -0.024057932198047638, -0.11226822435855865, -0.20702989399433136, 0.19610027968883514, 0.055504538118839264]","[-3.323364496231079, -2.5937747955322266, -0.3588867485523224, -0.3297272026538849, 0.2915954887866974, 1.0894776582717896]",0.004000000189989805,False
5,5,1715617003.2590804,"[-1.007468048726217, 1.9479002952575684, -4.08229905763735, 4.842267990112305, 1.0027755498886108, 1.4666118621826172]","[0.017180584371089935, -0.00827071350067854, -0.030315296724438667, -0.0736694261431694, -0.045348308980464935, 0.02051699347794056]","[-3.675842761993408, -2.5063440799713135, -0.4732819199562073, -0.3185119926929474, -0.3588867485523224, 1.3137818574905396]",0.004000000189989805,False
6,6,1715617004.2612205,"[-1.0037739912616175, 1.9459595680236816, -4.089910809193746, 4.826037406921387, 0.8592618107795715, 1.4710992574691772]","[0.00012783173588104546, -0.00014061490946915, -0.00036432043998502195, -0.00017257283616345376, -0.26100683212280273, 0.00043462790199555457]","[-3.515625476837158, -2.383044719696045, -0.3521576225757599, -0.2108459621667862, -0.3656158745288849, 0.8743286728858948]",0.004000000189989805,False
7,7,1715617005.2628202,"[-1.003737751637594, 1.9459476470947266, -4.0899346510516565, 4.826013565063477, 0.4727046489715576, 1.4710992574691772]","[2.556634717620909, 5.0, -2.556634717620909, 5.0, -1.917476038215682, 5.0, -3.834952076431364, 5.0, -0.5128673315048218, 1.2783173588104546, 5.0]","[-3.547668933868408, -2.376319169998169, -0.1323394924402237, -0.2332763969898224, -0.4194488823413849, 0.9155274629592896]",0.004000000189989805,False
8,8,1715617006.2646244,"[-1.0037019888507288, 1.9459476470947266, -4.0899346510516565, 4.826013565063477, -0.16225749651064092, 1.471123218536377]","[1.2783173588104546, 5.0, -1.2783173588104546, 5.0, 0.0, -1.917476038215682, 5.0, -0.7608736753463745, 0.0]","[-3.565979480743408, -2.38752818107605, -0.1345825344324112, -0.2153320610523224, -0.4463654160499573, 0.8834840059280396]",0.004000000189989805,False
9,9,1715617007.2662725,"[-1.0037501494037073, 1.9459357261657715, -4.089910809193746, 4.825965404510498, -0.9275887648211878, 1.471123218536377]","[0.0, -1.2783173588104546, 5.0, 0.0, 0.0, -0.6647314429283142, 0.0]","[-3.575134754180908, -2.371835470199585, -0.1390686184167862, -0.2198181450366974, -0.4172058403491974, 0.8834840059280396]",0.004000000189989805,False
10,10,1715617008.2684245,"[-1.003737751637594, 1.9459829330444336, -4.089946571980612, 4.825965404510498, -1.4672477881061, 1.471123218536377]","[0.0, -1.2783173588104546, 5.0, 0.0, 0.0, -0.41473087668418884, 0.0]","[-3.602600574493408, -2.378561019897461, -0.1300964504480362, -0.2153320610523224, -0.4373932480812073, 0.9567261934280396]",0.004000000189989805,False
11,11,1715617009.2705405,"[-1.003725830708639, 1.9459595680236816, -4.0899227301227015, 4.825965404510498, -1.7584102789508265, 1.4711471796035767]","[0.0, -0.0, 0.0, 0.0, -0.15899711847305298, 0.0]","[-3.552246570587158, -2.383044719696045, -0.1323394924402237, -0.2108459621667862, -0.4306641221046448, 0.9384156465530396]",0.004000000189989805,False
12,12,1715617010.272062,"[-0.9990604559527796, 1.936553955078125, -4.085331741963522, 4.825270652770996, -1.8040860334979456, 1.4718669652938843]","[0.00024288029817398638, -0.0, 0.0003834952076431364, -0.0004026699753012508, 0.06203034892678261, 0.00020453077740967274]","[-3.813171863555908, -2.36735200881958, 0.1390686184167862, -0.2287903130054474, 0.3835602104663849, 0.9841920137405396]",0.004000000189989805,False
