,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,1711722928.5118558,"[-1.7849706761986421, -1.0437010908120994, -1.885505652559875, -1.5815194068752927, -2.5730312534518194, 0.9938626086273038]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
1,1,1711722928.5118558,"[-1.7849706761986421, -1.0437010908120994, -1.885505652559875, -1.5815194068752927, -2.5730312534518194, 0.9938626086273038]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
2,2,1711722930.517038,"[-1.6297791096817789, -1.291794651538036, -1.7925946144710199, -1.5808511957454574, -2.4495837198626917, 0.8711014210307446]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
3,3,1711722931.5191576,"[-1.6749463860079998, -1.278231098406161, -1.7609904343210985, -1.5811029657354168, -2.693375158781083, 1.115226625705169]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
4,4,1711722932.5229225,"[-1.43274684268904, -1.551544324521529, -1.7298693477903897, -1.5798654577129378, -2.557377792892017, 0.9794358490261107]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
5,5,1711722933.5305367,"[-1.7461591072635807, -1.267660856662883, -1.7003462313717717, -1.5814763192838917, -2.547571836586784, 0.9700737805319946]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
6,6,1711722934.5353608,"[-1.4494606436657054, -1.6096583238654758, -1.6550387388109438, -1.579942400445703, -2.7184580814569363, 1.1412134315395783]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
7,7,1711722935.5374403,"[-1.6126755906549095, -1.4869901573222375, -1.6144931941389797, -1.5807591730848136, -2.448246249203286, 0.8714187199081415]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
8,8,1711722936.5404475,"[-1.6488852410942465, -1.4840009648785588, -1.5812716166515142, -1.5809112264234184, -2.6984583593911466, 1.1219672014015925]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
9,9,1711722937.5427737,"[-1.425450963004248, -1.734064906147158, -1.5546370979569837, -1.5797230936402806, -2.5488434515566034, 0.972540573108768]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
10,10,1711722938.545605,"[-1.7408232974599727, -1.4501814517419154, -1.5231511899657055, -1.5812934038674549, -2.5526078440503723, 0.9767539087115196]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
11,11,1711722939.5505524,"[-1.4443716862839193, -1.790143233100548, -1.4796351462658972, -1.5796890107309678, -2.7124321124667095, 1.1368147366472756]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
12,12,1711722940.552979,"[-1.6299013487708482, -1.6451418026253732, -1.4391070867682418, -1.5805548871696566, -2.447769126890028, 0.8725692448422652]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
13,13,1711722941.5588953,"[-1.650571472568606, -1.6592038705958103, -1.4043733536416039, -1.580569566548656, -2.70421411962079, 1.1293425911619344]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
14,14,1711722942.5637681,"[-1.4508455518517613, -1.8896397826385332, -1.3736604825856318, -1.5794487670981732, -2.536655193283173, 0.9619912684301888]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
15,15,1711722943.5693715,"[-1.763864808074217, -1.6005709769405019, -1.3497108159818878, -1.5809760933266273, -2.5596984349726166, 0.985441333281844]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
16,16,1711722944.5727446,"[-1.468717759626529, -1.9481763514883244, -1.2972489019072098, -1.5792820468384334, -2.704711505338016, 1.1307126703407642]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
