,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,[],[],[],[],True,True
1,1,[],[],[],[],True,True
2,2,[],[],[],[],True,True
3,3,[],[],[],[],True,True
4,4,[],[],[],[],True,True
5,5,[],[],[],[],True,True
6,6,[],[],[],[],True,True
7,7,[],[],[],[],True,True
8,8,[],[],[],[],True,True
9,9,[],[],[],[],True,True
10,10,[],[],[],[],True,True
11,11,[],[],[],[],True,True
12,12,[],[],[],[],True,True
13,13,[],[],[],[],True,True
14,14,[],[],[],[],True,True
15,15,[],[],[],[],True,True
16,16,[],[],[],[],True,True
17,17,[],[],[],[],True,True
18,18,[],[],[],[],True,True
19,19,[],[],[],[],True,True
20,20,[],[],[],[],True,True
21,21,[],[],[],[],True,True
22,22,[],[],[],[],True,True
23,23,[],[],[],[],True,True
24,24,[],[],[],[],True,True
25,25,[],[],[],[],True,True
26,26,[],[],[],[],True,True
27,27,[],[],[],[],True,True
28,28,[],[],[],[],True,True
29,29,[],[],[],[],True,True
30,30,[],[],[],[],True,True
31,31,[],[],[],[],True,True
32,32,[],[],[],[],True,True
33,33,[],[],[],[],True,True
34,34,[],[],[],[],True,True
35,35,[],[],[],[],True,True
36,36,[],[],[],[],True,True
37,37,[],[],[],[],True,True
38,38,[],[],[],[],True,True
39,39,[],[],[],[],True,True
40,40,[],[],[],[],True,True
41,41,[],[],[],[],True,True
42,42,[],[],[],[],True,True
43,43,[],[],[],[],True,True
44,44,[],[],[],[],True,True
45,45,[],[],[],[],True,True
46,46,[],[],[],[],True,True
47,47,[],[],[],[],True,True
48,48,[],[],[],[],True,True
49,49,[],[],[],[],True,True
50,50,[],[],[],[],True,True
51,51,[],[],[],[],True,True
52,52,[],[],[],[],True,True
53,53,[],[],[],[],True,True
54,54,[],[],[],[],True,True
55,55,[],[],[],[],True,True
56,56,[],[],[],[],True,True
57,57,[],[],[],[],True,True
58,58,[],[],[],[],True,True
59,59,[],[],[],[],True,True
60,60,[],[],[],[],True,True
61,61,[],[],[],[],True,True
62,62,[],[],[],[],True,True
63,63,[],[],[],[],True,True
64,64,[],[],[],[],True,True
65,65,[],[],[],[],True,True
66,66,[],[],[],[],True,True
67,67,[],[],[],[],True,True
68,68,[],[],[],[],True,True
69,69,[],[],[],[],True,True
70,70,[],[],[],[],True,True
71,71,[],[],[],[],True,True
72,72,[],[],[],[],True,True
73,73,[],[],[],[],True,True
74,74,[],[],[],[],True,True
75,75,[],[],[],[],True,True
76,76,[],[],[],[],True,True
77,77,[],[],[],[],True,True
78,78,[],[],[],[],True,True
79,79,[],[],[],[],True,True
80,80,[],[],[],[],True,True
81,81,[],[],[],[],True,True
82,82,[],[],[],[],True,True
83,83,[],[],[],[],True,True
84,84,[],[],[],[],True,True
85,85,[],[],[],[],True,True
86,86,[],[],[],[],True,True
87,87,[],[],[],[],True,True
88,88,[],[],[],[],True,True
89,89,[],[],[],[],True,True
90,90,[],[],[],[],True,True
91,91,[],[],[],[],True,True
92,92,[],[],[],[],True,True
93,93,[],[],[],[],True,True
94,94,[],[],[],[],True,True
95,95,[],[],[],[],True,True
96,96,[],[],[],[],True,True
97,97,[],[],[],[],True,True
98,98,[],[],[],[],True,True
99,99,[],[],[],[],True,True
100,100,[],[],[],[],True,True
101,101,[],[],[],[],True,True
102,102,1715617355.1858742,"[-1.4239180723773401, 1.904311180114746, -2.2966488043414515, 5.29180383682251, -1.1086824576007288, 1.1764060258865356]","[0.04057379439473152, 0.10910438746213913, -0.4120655953884125, 0.27214738726615906, 0.518600583076477, 0.03383706137537956]","[-2.302551507949829, -2.091609239578247, -0.8388977646827698, 0.4687958359718323, 0.3902893364429474, 1.2451173067092896]",True,True
103,103,1715617355.2016313,"[-1.423593823109762, 1.9051742553710938, -2.2999308745013636, 5.294043064117432, -1.1045640150653284, 1.176646113395691]","[0.039576705545186996, 0.10938561707735062, -0.42259255051612854, 0.27329784631729126, 0.5169323682785034, 0.03414385765790939]","[-2.265930414199829, -2.098334789276123, -0.6258087754249573, 0.4396362900733948, 0.4037475883960724, 1.2451173067092896]",0.004000000189989805,False
104,104,1715617355.213693,"[-1.423258129750387, 1.9060606956481934, -2.303295914326803, 5.296210289001465, -1.1004942099200647, 1.1769460439682007]","[0.03994741663336754, 0.10973075777292252, -0.4227651059627533, 0.26909857988357544, 0.5202112197875977, 0.034629616886377335]","[-2.293396234512329, -2.1498963832855225, -0.6841278672218323, 0.4127197563648224, 0.4598236680030823, 1.1672974824905396]",0.004000000189989805,False
105,105,1715617355.225161,"[-1.4229348341571253, 1.906935691833496, -2.306721035634176, 5.298401832580566, -1.0962560812579554, 1.177258014678955]","[0.040535442531108856, 0.11086846143007278, -0.42270758748054504, 0.2676413059234619, 0.5232600569725037, 0.03563948720693588]","[-2.238464593887329, -2.297855854034424, -0.6841278672218323, 0.4687958359718323, 0.4329071640968323, 1.1856080293655396]",0.004000000189989805,False
106,106,1715617355.236663,"[-1.4226344267474573, 1.9078340530395508, -2.310218159352438, 5.300568580627441, -1.092017952595846, 1.1775339841842651]","[0.040957286953926086, 0.11212121695280075, -0.4259673058986664, 0.26660585403442383, 0.5238544344902039, 0.03531990945339203]","[-2.151489496231079, -2.2306015491485596, -0.6504822373390198, 0.3611297905445099, 0.3297272026538849, 1.1993409395217896]",0.004000000189989805,False
107,107,1715617355.2481017,"[-1.4223225752459925, 1.9087090492248535, -2.313655201588766, 5.302735805511475, -1.0878761450396937, 1.1778340339660645]","[0.042082205414772034, 0.1152147427201271, -0.42123112082481384, 0.26441994309425354, 0.5220711827278137, 0.03609968349337578]","[-2.050781488418579, -2.1521382331848145, -0.8568421006202698, 0.5562744736671448, 0.4239349663257599, 1.2268067598342896]",0.004000000189989805,False
108,108,1715617355.25955,"[-1.4219992796527308, 1.9096312522888184, -2.317080322896139, 5.304879188537598, -1.0836623350726526, 1.1781339645385742]","[0.04283641278743744, 0.11331004649400711, -0.4268301725387573, 0.26279008388519287, 0.525177538394928, 0.0362275131046772]","[-1.927185297012329, -2.0467729568481445, -0.7065582871437073, 0.5158997178077698, 0.5248718857765198, 1.2771607637405396]",0.004000000189989805,False
109,109,1715617355.2709486,"[-1.4216278235064905, 1.9105420112609863, -2.320505444203512, 5.306974411010742, -1.0794604460345667, 1.178421974182129]","[0.04380793496966362, 0.11508691310882568, -0.4294570982456207, 0.26326945424079895, 0.5303930640220642, 0.03654709458351135]","[-1.844787836074829, -2.0691912174224854, -0.6594544053077698, 0.4777680039405823, 0.4104767143726349, 1.3229371309280396]",0.004000000189989805,False
110,110,1715617355.2824907,"[-1.4212434927569788, 1.911452293395996, -2.323810879384176, 5.309093952178955, -1.0751984755145472, 1.1786736249923706]","[0.04494563862681389, 0.11498464643955231, -0.43283185362815857, 0.2609109580516815, 0.5303930640220642, 0.03676440566778183]","[-1.936340570449829, -2.203699827194214, -0.7469330430030823, 0.4172058403491974, 0.3499145805835724, 1.2954713106155396]",0.004000000189989805,False
111,111,1715617355.2941663,"[-1.4208839575396937, 1.9123868942260742, -2.327212158833639, 5.311105251312256, -1.0710089842425745, 1.178985595703125]","[0.04562314599752426, 0.11456280201673508, -0.4350561499595642, 0.25905102491378784, 0.5301437973976135, 0.03756974637508392]","[-2.133178949356079, -2.3292412757873535, -0.8030090928077698, 0.3229980766773224, 0.4127197563648224, 1.3549805879592896]",0.004000000189989805,False
112,112,1715617355.305369,"[-1.4205363432513636, 1.9133453369140625, -2.3306854406939905, 5.313188552856445, -1.0666993300067347, 1.1792975664138794]","[0.047400008887052536, 0.1133611798286438, -0.4388335645198822, 0.25709518790245056, 0.531907856464386, 0.037697579711675644]","[-2.151489496231079, -2.4301226139068604, -0.6437531113624573, 0.4665527939796448, 0.4889832139015198, 1.3137818574905396]",0.004000000189989805,False
113,113,1715617355.31664,"[-1.4201281706439417, 1.9141120910644531, -2.334289852772848, 5.315164566040039, -1.0623658339129847, 1.179585576057434]","[0.047872986644506454, 0.10956458002328873, -0.440348356962204, 0.25506266951560974, 0.5338444709777832, 0.03750583156943321]","[-2.247619867324829, -2.394253730773926, -0.7020722031593323, 0.4844971299171448, 0.3342132866382599, 1.1947633028030396]",0.004000000189989805,False
114,114,1715617355.328357,"[-1.4197686354266565, 1.9150466918945312, -2.337919060383932, 5.31719970703125, -1.0581281820880335, 1.1798855066299438]","[0.048652756959199905, 0.10846522450447083, -0.44188234210014343, 0.25483256578445435, 0.5331350564956665, 0.03783819451928139]","[-2.247619867324829, -2.380802869796753, -0.6818848252296448, 0.5360870957374573, 0.3947754204273224, 1.2039185762405396]",0.004000000189989805,False
115,115,1715617355.3403141,"[-1.4193723837481897, 1.9159092903137207, -2.341475788746969, 5.319234848022461, -1.0538905302630823, 1.1802095174789429]","[0.048345960676670074, 0.10502655059099197, -0.4391978979110718, 0.252397358417511, 0.5330583453178406, 0.038656316697597504]","[-2.215576410293579, -2.107301950454712, -0.7110443711280823, 0.5316010117530823, 0.5226288437843323, 1.2130738496780396]",0.004000000189989805,False
116,116,1715617355.3515348,"[-1.4189890066729944, 1.9167485237121582, -2.345128361378805, 5.3211989402771, -1.0495927969561976, 1.1805094480514526]","[0.04935583472251892, 0.10705907642841339, -0.4446626901626587, 0.2512085437774658, 0.5367398858070374, 0.03817055746912956]","[-2.137756586074829, -2.0422894954681396, -0.8321686387062073, 0.3970184624195099, 0.4306641221046448, 1.2496949434280396]",0.004000000189989805,False
117,117,1715617355.362949,"[-1.4185574690448206, 1.917527198791504, -2.348745648060934, 5.323234558105469, -1.0453432242022913, 1.180821418762207]","[0.05039127171039581, 0.10578075796365738, -0.44652265310287476, 0.2504415512084961, 0.5379862189292908, 0.03804272413253784]","[-2.183532953262329, -2.10506010055542, -0.7200165390968323, 0.4486084580421448, 0.3431854546070099, 1.1947633028030396]",0.004000000189989805,False
118,118,1715617355.3741448,"[-1.4177420775042933, 1.9192519187927246, -2.3557875792132776, 5.327221393585205, -1.03674823442568, 1.1814213991165161]","[0.05123496055603027, 0.10800503194332123, -0.45097118616104126, 0.24808305501937866, 0.5421280264854431, 0.03855405002832413]","[-2.284240961074829, -2.0355639457702637, -0.7559052109718323, 0.3656158745288849, 0.5271149277687073, 1.1856080293655396]",0.004000000189989805,False
119,119,1715617355.3852603,"[-1.4173463026629847, 1.9201507568359375, -2.359368626271383, 5.329245090484619, -1.0323312918292444, 1.18178129196167]","[0.05219369754195213, 0.10933448374271393, -0.4525051712989807, 0.24745027720928192, 0.5423005819320679, 0.039397742599248886]","[-2.380371332168579, -2.098334789276123, -0.8276825547218323, 0.4172058403491974, 0.3544006645679474, 1.1764527559280396]",0.004000000189989805,False
120,120,1715617355.396454,"[-1.4169023672686976, 1.9209895133972168, -2.3629496733294886, 5.331268310546875, -1.0279853979693812, 1.1820693016052246]","[0.05255162715911865, 0.11116247624158859, -0.45530468225479126, 0.24693256616592407, 0.5415527820587158, 0.039090946316719055]","[-2.284240961074829, -2.089367389678955, -0.6392670273780823, 0.4216919243335724, 0.3813171684741974, 1.1901856660842896]",0.004000000189989805,False
121,121,1715617355.4075546,"[-1.4160264174090784, 1.922834873199463, -2.3703749815570276, 5.335243225097656, -1.0193665663348597, 1.1826932430267334]","[0.0541367381811142, 0.11475455015897751, -0.45737555623054504, 0.2438262552022934, 0.5425306558609009, 0.03983236849308014]","[-2.320862054824829, -2.170072555541992, -0.7357178330421448, 0.4934692978858948, 0.4575806260108948, 1.1306763887405396]",0.004000000189989805,False
122,122,1715617355.4187372,"[-1.4155829588519495, 1.9237570762634277, -2.374075237904684, 5.337255001068115, -1.0149849096881312, 1.1830052137374878]","[0.053293049335479736, 0.11406425386667252, -0.45553478598594666, 0.24248401820659637, 0.5456178188323975, 0.039563920348882675]","[-2.178955316543579, -2.2171506881713867, -0.7312317490577698, 0.3790741264820099, 0.3611297905445099, 1.1215211153030396]",0.004000000189989805,False
123,123,1715617355.429857,"[-1.4146955649005335, 1.9255547523498535, -2.381416622792379, 5.341086387634277, -1.0063064734088343, 1.1836531162261963]","[0.05514661222696304, 0.10897655785083771, -0.4618624448776245, 0.24229227006435394, 0.5462697744369507, 0.041136253625154495]","[-2.220154047012329, -2.3494174480438232, -0.7267456650733948, 0.3140259087085724, 0.4867401719093323, 1.0574342012405396]",0.004000000189989805,False
124,124,1715617355.440904,"[-1.4142282644854944, 1.9263935089111328, -2.3850577513324183, 5.342978000640869, -1.001937214528219, 1.1839770078659058]","[0.05448188632726669, 0.1055634468793869, -0.4618624448776245, 0.23715344071388245, 0.5484365224838257, 0.04063770920038223]","[-2.375793695449829, -2.3382084369659424, -0.7469330430030823, 0.3633728325366974, 0.3947754204273224, 1.0849000215530396]",0.004000000189989805,False
125,125,1715617355.4519541,"[-1.4137843290912073, 1.9272561073303223, -2.388674561177389, 5.344858169555664, -0.9974725882159632, 1.1842889785766602]","[0.05434127151966095, 0.10505212098360062, -0.4633389115333557, 0.23598377406597137, 0.5453301668167114, 0.039806801825761795]","[-2.394104242324829, -2.282163143157959, -0.7828217148780823, 0.4396362900733948, 0.3835602104663849, 1.1260987520217896]",0.004000000189989805,False
126,126,1715617355.463016,"[-1.4129326979266565, 1.9288735389709473, -2.396123711262838, 5.348546028137207, -0.9887936750995081, 1.1849368810653687]","[0.0550059974193573, 0.10300680994987488, -0.4702993333339691, 0.23475658893585205, 0.5482639074325562, 0.03979402035474777]","[-2.302551507949829, -1.9727933406829834, -0.6818848252296448, 0.5293579697608948, 0.4643097519874573, 1.0940552949905396]",0.004000000189989805,False
127,127,1715617355.4740713,"[-1.4124653975116175, 1.9296998977661133, -2.3999560515033167, 5.350437641143799, -0.9843648115741175, 1.1852248907089233]","[0.05570907145738602, 0.10470697283744812, -0.4716032147407532, 0.231285959482193, 0.5513510704040527, 0.04036926105618477]","[-2.252197504043579, -2.004178524017334, -0.6818848252296448, 0.5495453476905823, 0.3768310844898224, 1.2680054903030396]",0.004000000189989805,False
128,128,1715617355.485166,"[-1.41197377840151, 1.9304790496826172, -2.4038007895099085, 5.352269172668457, -0.9799593130694788, 1.1855847835540771]","[0.056003082543611526, 0.10349257290363312, -0.4758983850479126, 0.23019300401210785, 0.5502197742462158, 0.03994741663336754]","[-2.362060785293579, -2.089367389678955, -0.6482391953468323, 0.4172058403491974, 0.4261780083179474, 1.2634278535842896]",0.004000000189989805,False
