,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,[],[],[],[],True,True
1,1,1712572583.5952659,"[-1.7295320669757288, -1.2446706930743616, -1.740258518849508, -1.581229035054342, 3.8037033081054688, 0.901778519153595]","[-0.0452396497130394, 0.5672405362129211, -0.5312367081642151, -0.001035437104292214, -0.007880826480686665, -0.00010226538870483637]","[2.091980218887329, 4.526215553283691, -0.1614990383386612, -0.3050537407398224, -0.2310333549976349, -0.7003784775733948]",0.004000000189989805,True
2,2,1712572583.606587,"[-1.7298195997821253, -1.2402108351336878, -1.7445343176471155, -1.581205193196432, 3.8036792278289795, 0.9017665386199951]","[-0.0435650534927845, 0.5588291883468628, -0.5176801681518555, -0.0008436894277110696, -0.0033939324785023928, -0.00010226538870483637]","[2.027893304824829, 4.340145111083984, -0.2243042290210724, -0.3566437065601349, -0.3723450005054474, -0.6729126572608948]",0.004000000189989805,False
3,3,1712572583.6179993,"[-1.7301672140704554, -1.2357400099383753, -1.7486780325519007, -1.581229035054342, 3.803642988204956, 0.9017665386199951]","[-0.044447094202041626, 0.5520157814025879, -0.5063670873641968, -0.0007094661123119295, -0.005349758081138134, -0.00010226538870483637]","[2.082824945449829, 4.180976867675781, -0.2848663628101349, -0.3319702446460724, -0.3544006645679474, -0.6317139267921448]",0.004000000189989805,False
4,4,1712572583.6298897,"[-1.7305753866778772, -1.2314484755145472, -1.7526782194720667, -1.581217114125387, 3.8035829067230225, 0.9017665386199951]","[-0.043603405356407166, 0.5334034562110901, -0.49729740619659424, -0.0005944175645709038, -0.0054456316865980625, -0.00010226538870483637]","[2.311706781387329, 4.311001777648926, -0.3947754204273224, -0.3252411186695099, -0.2938385307788849, -0.6179810166358948]",0.004000000189989805,False
5,5,1712572583.6440487,"[-1.730898682271139, -1.2271812597857874, -1.7565825621234339, -1.5812414328204554, 3.8035471439361572, 0.9017904996871948]","[-0.043833501636981964, 0.5392965078353882, -0.4922352731227875, -0.0005368932615965605, -0.002799514913931489, -8.948221511673182, 5.0]","[2.545166254043579, 4.568809986114502, -0.2220611870288849, -0.3140259087085724, -0.3790741264820099, -0.6042481064796448]",0.004000000189989805,False
6,6,1712572583.6584167,"[-1.7312825361834925, -1.2229140440570276, -1.760463062916891, -1.581229035054342, 3.803511142730713, 0.9017305374145508]","[-0.04412751644849777, 0.5364331007003784, -0.4979110062122345, 0.0, -0.008283496834337711, -8.948221511673182, 5.0]","[2.586364984512329, 4.651756763458252, -0.2377624809741974, -0.3701019585132599, -0.2467346489429474, -0.6225586533546448]",0.004000000189989805,False
7,7,1712572583.6713994,"[-1.7317140738116663, -1.218682591115133, -1.7643559614764612, -1.5812533537494105, 3.8034870624542236, 0.9017305374145508]","[-0.04428091272711754, 0.5190735459327698, -0.4870580732822418, 0.0, -0.003719903528690338, -8.948221511673182, 5.0]","[2.824402093887329, 4.887146949768066, -0.1884155422449112, -0.2960815727710724, -0.3117828667163849, -0.6408692002296448]",0.004000000189989805,False
8,8,1712572583.6836338,"[-1.7320016066180628, -1.2144511381732386, -1.7682717482196253, -1.581229035054342, 3.8034751415252686, 0.9017544984817505]","[-0.042644668370485306, 0.5286609530448914, -0.48498719930648804, 0.0, -0.0020900489762425423, -8.948221511673182, 5.0]","[2.893066644668579, 4.768331050872803, -0.2960815727710724, -0.3409424126148224, -0.3947754204273224, -0.6271362900733948]",0.004000000189989805,False
9,9,1712572583.696981,"[-1.7320016066180628, -1.2144511381732386, -1.7682717482196253, -1.581229035054342, 3.8034751415252686, 0.9017544984817505]","[-0.042644668370485306, 0.5286609530448914, -0.48498719930648804, 0.0, -0.0020900489762425423, -8.948221511673182, 5.0]","[2.893066644668579, 4.768331050872803, -0.2960815727710724, -0.3409424126148224, -0.3947754204273224, -0.6271362900733948]",0.004000000189989805,False
10,10,1712572583.7096164,"[-1.7326014677630823, -1.2061203161822718, -1.775985066090719, -1.581205193196432, 3.803391218185425, 0.9017904996871948]","[-0.03897589445114136, 0.5056512355804443, -0.4654289484024048, 0.0, -0.0033747577108442783, -7.669904152862728, 5.0]","[2.549743890762329, 4.384981632232666, -0.2220611870288849, -0.3813171684741974, -0.3005676567554474, -0.6866455674171448]",0.004000000189989805,False
11,11,1712572583.721837,"[-1.7328289190875452, -1.2021644751178187, -1.7797091642962855, -1.5812414328204554, 3.8033313751220703, 0.901778519153595]","[-0.03723738342523575, 0.49155136942863464, -0.4462541937828064, 0.0, -0.01161990500986576, -7.669904152862728, 5.0]","[2.261352777481079, 4.10475492477417, -0.2714081108570099, -0.3902893364429474, -0.3409424126148224, -0.6729126572608948]",0.004000000189989805,False
