,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,1716479987.9512444,"[-1.92578632036318, -2.142299477254049, 0.6434241533279419, -4.610164586697714, -1.6589587370501917, 4.60299825668335]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.092407703399658, 2.3964955806732178, 0.1054229810833931, 0.011215210892260075, 0.0560760572552681, 0.4394531846046448]",4.028320108773187,False
1,1,1716479987.9512444,"[-1.92578632036318, -2.142299477254049, 0.6434241533279419, -4.610164586697714, -1.6589587370501917, 4.60299825668335]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.092407703399658, 2.3964955806732178, 0.1054229810833931, 0.011215210892260075, 0.0560760572552681, 0.4394531846046448]",4.028320108773187,False
2,2,1716479989.9601748,"[-1.9257624785052698, -2.142299477254049, 0.643447995185852, -4.610176626835958, -1.6590188185321253, 4.602950096130371]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.074097156524658, 2.394253730773926, 0.0942077711224556, 0.01570129580795765, 0.0583190992474556, 0.4165649712085724]",1.611232801224105,False
3,3,1716479990.9656873,"[-1.925774399434225, -2.142311398183004, 0.6434119939804077, -4.610188547764913, -1.6589706579791468, 4.6029863357543945]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.202270984649658, 2.392011880874634, 0.1031799390912056, 0.006729126907885075, 0.0471038855612278, 0.4211426079273224]",8.056164006120525,False
4,4,1716479991.9705582,"[-1.9257505575763147, -2.142287556325094, 0.6434119939804077, -4.610164586697714, -1.6590068976031702, 4.60299825668335]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.133606433868408, 2.4054627418518066, 0.1009368970990181, 0.011215210892260075, 0.0515899695456028, 0.4348755180835724]",4.028320108773187,False
5,5,1716479992.97621,"[-1.925774399434225, -2.1423476378070276, 0.643436074256897, -4.610164586697714, -1.6589949766742151, 4.602962493896484]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.193115711212158, 2.3987371921539307, 0.1009368970990181, 0.01570129580795765, 0.0538330152630806, 0.4486084580421448]",8.056164006120525,False
6,6,1716479993.9808216,"[-1.925774399434225, -2.1423352400409144, 0.6434119939804077, -4.610188547764913, -1.6590068976031702, 4.602962493896484]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.092407703399658, 2.3987371921539307, 0.1031799390912056, 0.008972168900072575, 0.0560760572552681, 0.4165649712085724]",4.028320108773187,False
7,7,1716479994.9859307,"[-1.9257624785052698, -2.142287556325094, 0.6434000730514526, -4.610188547764913, -1.65898305574526, 4.6029744148254395]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.092407703399658, 2.4009790420532227, 0.0986938551068306, 0.004486084450036287, 0.0493469275534153, 0.4348755180835724]",1.611232801224105,False
8,8,1716479995.9907897,"[-1.92578632036318, -2.1423237959491175, 0.6434241533279419, -4.610140625630514, -1.6589949766742151, 4.602962493896484]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.083252429962158, 2.3964955806732178, 0.1121521145105362, 0.011215210892260075, 0.0538330152630806, 0.4074096977710724]",2.4168490199372172,False
9,9,1716479996.9960728,"[-1.9257624785052698, -2.1423476378070276, 0.6434119939804077, -4.610188547764913, -1.6589949766742151, 4.6029863357543945]","[0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[4.110718250274658, 2.4032208919525146, 0.1031799390912056, 0.011215210892260075, 0.0560760572552681, 0.4028320610523224]",1.611232801224105,False
