,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
22,22,1711721759.0790029,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
23,23,1711721760.0849452,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
24,24,1711721761.0904467,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
25,25,1711721762.09543,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
26,26,1711721763.10294,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
27,27,1711721764.107759,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
28,28,1711721765.1108265,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
29,29,1711721766.1157665,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
30,30,1711721767.1186182,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
31,31,1711721768.1227498,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
32,32,1711721769.1270366,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
33,33,1711721770.133218,"[-1.8390713381117094, -0.5507731119046468, -2.0467304620641835, -2.069759865892933, -0.6996674566314597, 0.4579325117719837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
