,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,1711724758.2933445,"[-1.5753550334519622, -1.3483897022632247, -1.7801408569506192, -1.5924969161784948, -2.127741856086492, 0.6984748291803582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
1,1,1711724758.2933445,"[-1.5753550334519622, -1.3483897022632247, -1.7801408569506192, -1.5924969161784948, -2.127741856086492, 0.6984748291803582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
2,2,1711724760.3587067,"[-1.529442967938306, -1.3535238209171045, -1.8312005880202653, -1.5802957118261243, -2.739645841696333, 1.1607548879308842]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
3,3,1711724761.363964,"[-1.5754751248645054, -1.3433382771610798, -1.7953536558706453, -1.5805695663714634, -2.4546797937470775, 0.8761388497026591]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
4,4,1711724762.3671908,"[-1.719807877602373, -1.2220902749821954, -1.7722714669133124, -1.581323718234018, -2.6549461774859466, 1.0767410183557602]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
5,5,1711724763.369144,"[-1.4169425864652112, -1.5605071174448495, -1.736710709100403, -1.579781953922777, -2.609436770853469, 1.0314358106685904]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
6,6,1711724764.3724506,"[-1.7328681659470166, -1.2788636604546157, -1.702434214233732, -1.5814098523639581, -2.510950449212747, 0.9334151694605177]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
7,7,1711724765.3764982,"[-1.4985537924111136, -1.560667210904287, -1.6549377032636898, -1.5801966697382808, -2.737589027589311, 1.1603427197463008]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
8,8,1711724766.3816564,"[-1.5545414492575385, -1.54108358307494, -1.6185330487954588, -1.5804628646092576, -2.452946691739603, 0.876052075455078]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
9,9,1711724767.3862739,"[-1.6956639590480371, -1.4269653603438726, -1.5915298138976788, -1.5811607782561463, -2.6599705053426375, 1.0834289908084374]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
10,10,1711724768.3899934,"[-1.4066817419920064, -1.7457241885479624, -1.5617470389046346, -1.5796358731433162, -2.5971297269264553, 1.0207677539910436]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
11,11,1711724769.395682,"[-1.7305640693579127, -1.4579849857824176, -1.5256068932875912, -1.5812460646579487, -2.516883851552154, 0.9409941745868667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
12,12,1711724770.4007444,"[-1.4853295374596607, -1.7494330753929659, -1.4793879350336594, -1.5799006596493206, -2.7331093941410556, 1.1574898272397118]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
